0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
"easumhal ‎(“disobedient; insubordinate, rebellious”)  íon umhal ‎(“pure and humble”)",,le croí umhal ‎(“with a humble heart”)  neamhumhal ‎(“not pliant; disobedient”),,umhal ábalta ‎(“limber and able-bodied; willing and able”)  umhal éasca ‎(“lithe and swift”),,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  umhal  umhail  Vocative  a umhail  a umhala  Genitive  umhail  umhal  Dative  umhal  umhail,Case,Singular,Plural,Nominative,umhal,umhail,Vocative,a umhail,a umhala,Genitive,umhail,umhal,Dative,umhal,umhail,Forms with the definite article: Case Singular Plural  Nominative  an t-umhal  na humhail  Genitive  an umhail  na n-umhal  Dative  leis an umhal don umhal  leis na humhail,Case,Singular,Plural,Nominative,an t-umhal,na humhail,Genitive,an umhail,na n-umhal,Dative,leis an umhal don umhal,leis na humhail
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,umhal,umhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a umhail,a umhala,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,umhail,umhal,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,umhal,umhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an t-umhal,na humhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an umhail,na n-umhal,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an umhal don umhal,leis na humhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,umhal,umhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a umhail,a umhala,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,umhail,umhal,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,umhal,umhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an t-umhal,na humhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an umhail,na n-umhal,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an umhal don umhal,leis na humhail,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Eclipsis,with h-prothesis,with t-prothesis,,,,,,,,,,,,,,,,,,,,,,,,,
umhal,n-umhal,humhal,t-umhal,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
