0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Francach,Fhrancach,Francacha;Fhrancacha²,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,Fhrancaigh,Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Francaí,Francacha,Francach,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Francach;Fhrancach¹,Fhrancach;Fhrancaigh (archaic),Francacha;Fhrancacha²,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative,(not comparable),,,,,,,,,,,,,,,,,,,,,,,,,,,
Superlative,(not comparable),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  Francach  Francaigh  Vocative  a Fhrancaigh  a Fhrancacha  Genitive  Francaigh  Francach  Dative  Francach  Francaigh,Case,Singular,Plural,Nominative,Francach,Francaigh,Vocative,a Fhrancaigh,a Fhrancacha,Genitive,Francaigh,Francach,Dative,Francach,Francaigh,Forms with the definite article: Case Singular Plural  Nominative  an Francach  na Francaigh  Genitive  an Fhrancaigh  na bhFrancach  Dative  leis an bhFrancach don Fhrancach  leis na Francaigh,Case,Singular,Plural,Nominative,an Francach,na Francaigh,Genitive,an Fhrancaigh,na bhFrancach,Dative,leis an bhFrancach don Fhrancach,leis na Francaigh
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Francach,Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Fhrancaigh,a Fhrancacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Francaigh,Francach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Francach,Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Francach,na Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Fhrancaigh,na bhFrancach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhFrancach don Fhrancach,leis na Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Francach,Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Fhrancaigh,a Fhrancacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Francaigh,Francach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Francach,Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Francach,na Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Fhrancaigh,na bhFrancach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhFrancach don Fhrancach,leis na Francaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  Francach  Francacha  Vocative  a Fhrancach  a Fhrancacha  Genitive  Francaí  Francach  Dative  Francach  Francacha,Case,Singular,Plural,Nominative,Francach,Francacha,Vocative,a Fhrancach,a Fhrancacha,Genitive,Francaí,Francach,Dative,Francach,Francacha,Forms with the definite article Case Singular Plural  Nominative  an Fhrancach  na Francacha  Genitive  na Francaí  na bhFrancach  Dative  leis an bhFrancach don Fhrancach  leis na Francacha,Case,Singular,Plural,Nominative,an Fhrancach,na Francacha,Genitive,na Francaí,na bhFrancach,Dative,leis an bhFrancach don Fhrancach,leis na Francacha
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Francach,Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Fhrancach,a Fhrancacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Francaí,Francach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Francach,Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Fhrancach,na Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na Francaí,na bhFrancach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhFrancach don Fhrancach,leis na Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Francach,Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Fhrancach,a Fhrancacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Francaí,Francach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Francach,Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Fhrancach,na Francacha,,,,,,,,,,,,,,,,,,,,,,,,,,
