0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  gníomhaíocht  gníomhaíochtaí  Vocative  a ghníomhaíocht  a ghníomhaíochtaí  Genitive  gníomhaíochta  gníomhaíochtaí  Dative  gníomhaíocht  gníomhaíochtaí,Case,Singular,Plural,Nominative,gníomhaíocht,gníomhaíochtaí,Vocative,a ghníomhaíocht,a ghníomhaíochtaí,Genitive,gníomhaíochta,gníomhaíochtaí,Dative,gníomhaíocht,gníomhaíochtaí,Forms with the definite article: Case Singular Plural  Nominative  an ghníomhaíocht  na gníomhaíochtaí  Genitive  na gníomhaíochta  na ngníomhaíochtaí  Dative  leis an ngníomhaíocht don ghníomhaíocht  leis na gníomhaíochtaí,Case,Singular,Plural,Nominative,an ghníomhaíocht,na gníomhaíochtaí,Genitive,na gníomhaíochta,na ngníomhaíochtaí,Dative,leis an ngníomhaíocht don ghníomhaíocht,leis na gníomhaíochtaí
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gníomhaíocht,gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghníomhaíocht,a ghníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gníomhaíochta,gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gníomhaíocht,gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghníomhaíocht,na gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na gníomhaíochta,na ngníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngníomhaíocht don ghníomhaíocht,leis na gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gníomhaíocht,gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghníomhaíocht,a ghníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gníomhaíochta,gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gníomhaíocht,gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghníomhaíocht,na gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na gníomhaíochta,na ngníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngníomhaíocht don ghníomhaíocht,leis na gníomhaíochtaí,,,,,,,,,,,,,,,,,,,,,,,,,,
aisghníomhaíocht  beoghníomhaíocht  bruthghníomhaíocht  comhghníomhaíocht  dea-ghníomhaíocht,,éighníomhaíocht  frithghníomhaíocht  grianghníomhaíocht  hipirghníomhaíocht  idirghníomhaíocht,,maisghníomhaíocht  neamhghníomhaíocht  radaighníomhaíocht  sainghníomhaíocht,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
gníomhaíocht,ghníomhaíocht,ngníomhaíocht,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
