0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  glaoch  Vocative  a ghlaoch  Genitive  glaoite  Dative  glaoch,Case,Singular,Nominative,glaoch,Vocative,a ghlaoch,Genitive,glaoite,Dative,glaoch,Forms with the definite article Case Singular  Nominative  an glaoch  Genitive  an ghlaoite  Dative  leis an nglaoch don ghlaoch,Case,Singular,Nominative,an glaoch,Genitive,an ghlaoite,Dative,leis an nglaoch don ghlaoch
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,glaoch,,,,,,,,,,,,,,,,,,
Vocative,a ghlaoch,,,,,,,,,,,,,,,,,,
Genitive,glaoite,,,,,,,,,,,,,,,,,,
Dative,glaoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an glaoch,,,,,,,,,,,,,,,,,,
Genitive,an ghlaoite,,,,,,,,,,,,,,,,,,
Dative,leis an nglaoch don ghlaoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,glaoch,,,,,,,,,,,,,,,,,,
Vocative,a ghlaoch,,,,,,,,,,,,,,,,,,
Genitive,glaoite,,,,,,,,,,,,,,,,,,
Dative,glaoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an glaoch,,,,,,,,,,,,,,,,,,
Genitive,an ghlaoite,,,,,,,,,,,,,,,,,,
Dative,leis an nglaoch don ghlaoch,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  glaoch  Vocative  a ghlaoigh  Genitive  glaoigh  Dative  glaoch,Case,Singular,Nominative,glaoch,Vocative,a ghlaoigh,Genitive,glaoigh,Dative,glaoch,Forms with the definite article: Case Singular  Nominative  an glaoch  Genitive  an ghlaoigh  Dative  leis an nglaoch don ghlaoch,Case,Singular,Nominative,an glaoch,Genitive,an ghlaoigh,Dative,leis an nglaoch don ghlaoch
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,glaoch,,,,,,,,,,,,,,,,,,
Vocative,a ghlaoigh,,,,,,,,,,,,,,,,,,
Genitive,glaoigh,,,,,,,,,,,,,,,,,,
Dative,glaoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an glaoch,,,,,,,,,,,,,,,,,,
Genitive,an ghlaoigh,,,,,,,,,,,,,,,,,,
Dative,leis an nglaoch don ghlaoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,glaoch,,,,,,,,,,,,,,,,,,
Vocative,a ghlaoigh,,,,,,,,,,,,,,,,,,
Genitive,glaoigh,,,,,,,,,,,,,,,,,,
Dative,glaoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an glaoch,,,,,,,,,,,,,,,,,,
Genitive,an ghlaoigh,,,,,,,,,,,,,,,,,,
Dative,leis an nglaoch don ghlaoch,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
glaoch,ghlaoch,nglaoch,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
