0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  Máratánach  Máratánaigh  Vocative  a Mháratánaigh  a Mháratánacha  Genitive  Máratánaigh  Máratánach  Dative  Máratánach  Máratánaigh,Case,Singular,Plural,Nominative,Máratánach,Máratánaigh,Vocative,a Mháratánaigh,a Mháratánacha,Genitive,Máratánaigh,Máratánach,Dative,Máratánach,Máratánaigh,Forms with the definite article: Case Singular Plural  Nominative  an Máratánach  na Máratánaigh  Genitive  an Mháratánaigh  na Máratánach  Dative  leis an Máratánach don Mháratánach  leis na Máratánaigh,Case,Singular,Plural,Nominative,an Máratánach,na Máratánaigh,Genitive,an Mháratánaigh,na Máratánach,Dative,leis an Máratánach don Mháratánach,leis na Máratánaigh
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Máratánach,Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Mháratánaigh,a Mháratánacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Máratánaigh,Máratánach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Máratánach,Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Máratánach,na Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Mháratánaigh,na Máratánach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an Máratánach don Mháratánach,leis na Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Máratánach,Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Mháratánaigh,a Mháratánacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Máratánaigh,Máratánach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Máratánach,Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Máratánach,na Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Mháratánaigh,na Máratánach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an Máratánach don Mháratánach,leis na Máratánaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
Máratánach,Mháratánach,unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
