0,1,2,3,4,5,6
audio,,(file),,,,
Inflection of flaska,,,,,,
,Singular,Plural,,,,
Indefinite,Definite,Indefinite,Definite,,,
Nominative,flaska,flaskan,flaskor,flaskorna,,
Genitive,flaskas,flaskans,flaskors,flaskornas,,
brännvinsflaska  fältflaska  flaskautomat  flaskbarn  flaskborste  flaskformig  flaskhals,,flasklock  flaskmata  flaskmjölk  flasknosdelfin  flasköl  flasköppnare  flaskpost,,flaskskepp  flaskställ  glasflaska  mjölkflaska  nappflaska  ölflaska,,pantflaska  plastflaska  saftflaska  sockerdricksflaska  vattenflaska  vinflaska
