0,1,2
Chemical element,,
Fe,Previous: mangán (Mn),
Next: kobalt (Co),,
,singular,plural
nominative,železo,železá
genitive,železa,želiez
dative,železu,železám
accusative,železo,železá
locative,železe,železách
instrumental,železom,železami
