0,1,2,3
,Singular,Plural,Archaic plural
nominative,ძვრა (jvra),ძვრები (jvrebi),ძვრანი (jvrani)
ergative,ძვრამ (jvram),ძვრებმა (jvrebma),ძვრათა (jvrat'a)
dative,ძვრას (jvras),ძვრებს (jvrebs),ძვრათა (jvrat'a)
genitive,ძვრის (jvris),ძვრების (jvrebis),ძვრათა (jvrat'a)
instrumental,ძვრით (jvrit'),ძვრებით (jvrebit'),
adverbial,ძვრად (jvrad),ძვრებად (jvrebad),
vocative,ძვრა(ვ) (jvra(v)),ძვრებო (jvrebo),ძვრანო (jvrano)
Postpositions taking a genitive case,singular,plural,
-თვის (for - ),ძვრისთვის,ძვრებისთვის,
-ებრ (like a - ),ძვრისებრ,ძვრებისებრ,
-კენ (towards - ),ძვრისკენ,ძვრებისკენ,
-გან (from/of - ),ძვრისგან,ძვრებისგან,
Postpositions taking an adverbial case,singular,plural,
-მდე (up to - ),ძვრამდე,ძვრებამდე,
Postpositions taking a dative case,singular,plural,
-ზე (on - ),ძვრაზე,ძვრებზე,
-თან (near - ),ძვრასთან,ძვრებთან,
-ში (in - ),ძვრაში,ძვრებში,
-ვით (like a - ),ძვრივით,ძვრებივით,
Postpositions taking an instrumental case,singular,plural,
-დან (from / since - ),ძვრიდან,ძვრებიდან,
-ურთ (together with - ),ძვრითურთ,ძვრებითურთ,
,Singular,Plural,Archaic plural
nominative,ძვრა (jvra),,
ergative,ძვრამ (jvram),,
dative,ძვრას (jvras),,
genitive,ძვრის (jvris),,
instrumental,ძვრით (jvrit'),,
adverbial,ძვრად (jvrad),,
vocative,ძვრა(ვ) (jvra(v)),,
Postpositions taking a genitive case,singular,plural,
-თვის (for - ),ძვრისთვის,,
-ებრ (like a - ),ძვრისებრ,,
-კენ (towards - ),ძვრისკენ,,
-გან (from/of - ),ძვრისგან,,
Postpositions taking an adverbial case,singular,plural,
-მდე (up to - ),ძვრამდე,,
Postpositions taking a dative case,singular,plural,
-ზე (on - ),ძვრაზე,,
-თან (near - ),ძვრასთან,,
-ში (in - ),ძვრაში,,
-ვით (like a - ),ძვრივით,,
Postpositions taking an instrumental case,singular,plural,
-დან (from / since - ),ძვრიდან,,
-ურთ (together with - ),ძვრითურთ,,
