0,1
Chemical element,
S,Previous: фосфор ‎(fosfor) (P)
Next: хлор ‎(xlor) (Cl),
,singular only
absolute,көкөрт
definite genitive,көкөрттөң
dative,көкөрткә
definite accusative,көкөрттө
locative,көкөрттә
ablative,көкөрттән
