0,1
Chemical element,
Cu,Previous: nichel (Ni)
Next: zinc (Zn),
gender n,uncountable
Nominative/Accusative (Unarticulated),cupru
Nominative/Accusative (Definite articulation),cuprul
Genitive/Dative (Definite articulation),cuprului
