0,1,2,3,4,5,6,7,8
,singular,plural,,,,,,
nominative,chinkay,chinkaykuna,,,,,,
accusative,chinkayta,chinkaykunata,,,,,,
dative,chinkayman,chinkaykunaman,,,,,,
genitive,chinkaypa,chinkaykunap,,,,,,
locative,chinkaypi,chinkaykunapi,,,,,,
terminative,chinkaykama,chinkaykunakama,,,,,,
ablative,chinkaymanta,chinkaykunamanta,,,,,,
instrumental,chinkaywan,chinkaykunawan,,,,,,
comitative,chinkaynintin,chinkaykunantin,,,,,,
abessive,chinkayninnaq,chinkaykunannaq,,,,,,
comparative,chinkayhina,chinkaykunahina,,,,,,
causative,chinkayrayku,chinkaykunarayku,,,,,,
benefactive,chinkaypaq,chinkaykunapaq,,,,,,
associative,chinkaypura,chinkaykunapura,,,,,,
distributive,chinkayninka,chinkaykunanka,,,,,,
exclusive,chinkaylla,chinkaykunalla,,,,,,
ñuqap (my),singular,plural,,,,,,
nominative,chinkayniy,chinkayniykuna,,,,,,
accusative,chinkayniyta,chinkayniykunata,,,,,,
dative,chinkayniyman,chinkayniykunaman,,,,,,
genitive,chinkayniypa,chinkayniykunap,,,,,,
locative,chinkayniypi,chinkayniykunapi,,,,,,
terminative,chinkayniykama,chinkayniykunakama,,,,,,
ablative,chinkayniymanta,chinkayniykunamanta,,,,,,
instrumental,chinkayniywan,chinkayniykunawan,,,,,,
comitative,chinkayniynintin,chinkayniykunantin,,,,,,
abessive,chinkayniyninnaq,chinkayniykunannaq,,,,,,
comparative,chinkayniyhina,chinkayniykunahina,,,,,,
causative,chinkayniyrayku,chinkayniykunarayku,,,,,,
benefactive,chinkayniypaq,chinkayniykunapaq,,,,,,
associative,chinkayniypura,chinkayniykunapura,,,,,,
distributive,chinkayniyninka,chinkayniykunanka,,,,,,
exclusive,chinkayniylla,chinkayniykunalla,,,,,,
qampa (your),singular,plural,,,,,,
nominative,chinkayniyki,chinkayniykikuna,,,,,,
accusative,chinkayniykita,chinkayniykikunata,,,,,,
dative,chinkayniykiman,chinkayniykikunaman,,,,,,
genitive,chinkayniykipa,chinkayniykikunap,,,,,,
locative,chinkayniykipi,chinkayniykikunapi,,,,,,
terminative,chinkayniykikama,chinkayniykikunakama,,,,,,
ablative,chinkayniykimanta,chinkayniykikunamanta,,,,,,
instrumental,chinkayniykiwan,chinkayniykikunawan,,,,,,
comitative,chinkayniykintin,chinkayniykikunantin,,,,,,
abessive,chinkayniykinnaq,chinkayniykikunannaq,,,,,,
comparative,chinkayniykihina,chinkayniykikunahina,,,,,,
causative,chinkayniykirayku,chinkayniykikunarayku,,,,,,
benefactive,chinkayniykipaq,chinkayniykikunapaq,,,,,,
associative,chinkayniykipura,chinkayniykikunapura,,,,,,
distributive,chinkayniykinka,chinkayniykikunanka,,,,,,
exclusive,chinkayniykilla,chinkayniykikunalla,,,,,,
paypa (his/her/its),singular,plural,,,,,,
nominative,chinkaynin,chinkayninkuna,,,,,,
accusative,chinkayninta,chinkayninkunata,,,,,,
dative,chinkayninman,chinkayninkunaman,,,,,,
genitive,chinkayninpa,chinkayninkunap,,,,,,
locative,chinkayninpi,chinkayninkunapi,,,,,,
terminative,chinkayninkama,chinkayninkunakama,,,,,,
ablative,chinkayninmanta,chinkayninkunamanta,,,,,,
instrumental,chinkayninwan,chinkayninkunawan,,,,,,
comitative,chinkayninintin,chinkayninkunantin,,,,,,
abessive,chinkayninninnaq,chinkayninkunannaq,,,,,,
comparative,chinkayninhina,chinkayninkunahina,,,,,,
causative,chinkayninrayku,chinkayninkunarayku,,,,,,
benefactive,chinkayninpaq,chinkayninkunapaq,,,,,,
associative,chinkayninpura,chinkayninkunapura,,,,,,
distributive,chinkaynininka,chinkayninkunanka,,,,,,
exclusive,chinkayninlla,chinkayninkunalla,,,,,,
ñuqanchikpa (our(incl)),singular,plural,,,,,,
nominative,chinkayninchik,chinkayninchikkuna,,,,,,
accusative,chinkayninchikta,chinkayninchikkunata,,,,,,
dative,chinkayninchikman,chinkayninchikkunaman,,,,,,
genitive,chinkayninchikpa,chinkayninchikkunap,,,,,,
locative,chinkayninchikpi,chinkayninchikkunapi,,,,,,
terminative,chinkayninchikkama,chinkayninchikkunakama,,,,,,
ablative,chinkayninchikmanta,chinkayninchikkunamanta,,,,,,
instrumental,chinkayninchikwan,chinkayninchikkunawan,,,,,,
comitative,chinkayninchiknintin,chinkayninchikkunantin,,,,,,
abessive,chinkayninchikninnaq,chinkayninchikkunannaq,,,,,,
comparative,chinkayninchikhina,chinkayninchikkunahina,,,,,,
causative,chinkayninchikrayku,chinkayninchikkunarayku,,,,,,
benefactive,chinkayninchikpaq,chinkayninchikkunapaq,,,,,,
associative,chinkayninchikpura,chinkayninchikkunapura,,,,,,
distributive,chinkayninchikninka,chinkayninchikkunanka,,,,,,
