0,1,2,3,4,5,6,7,8
infinitive,wiñay,,,,,,,
agentive,wiñaq,,,,,,,
present participle,wiñaspa,,,,,,,
past participle,wiñasqa,,,,,,,
future participle,wiñana,,,,,,,
,singular,plural,,,,,,
1st person,2nd person,3rd person,1st person inclusive,1st person exclusive,2nd person,3rd person,,
indicative,,ñuqa,qam,pay,ñuqanchik,ñuqayku,qamkuna,paykuna
present,wiñani,wiñanki,wiñan,wiñanchik,wiñayku,wiñankichik,wiñanku,
past(experienced),wiñarqani,wiñarqanki,wiñarqan,wiñarqanchik,wiñarqaniku,wiñarqankichik,wiñarqanku,
past(reported),wiñasqani,wiñasqanki,wiñasqan,wiñasqanchik,wiñasqaniku,wiñasqankichik,wiñasqanku,
future,wiñasaq,wiñanki,wiñanqa,wiñasunchik,wiñasaqku,wiñankichik,wiñanqaku,
,,,,,,,,
imperative,,—,qam,pay,—,—,qamkuna,paykuna
affirmative,,wiñay,wiñachun,,,wiñaychik,wiñachunku,
negative,,amawiñaychu,amawiñachunchu,,,amawiñaychikchu,amawiñachunkuchu,
