0,1,2
,singular,duoplural
1st person,shízháneeʼ,nihízháneeʼ
2nd person,nízháneeʼ,nihízháneeʼ
3rd person,bízháneeʼ,
4th person (3o),yízháneeʼ,
4th person (3a),házháneeʼ,
4th person (3i),ázháneeʼ,—
reflexive,"ázháneeʼ, ádízháneeʼ",—
reciprocal,—,"áłzháneeʼ, ahíłzháneeʼ"
