0,1,2,3
IMPERFECTIVE,singular,duoplural,plural
1st person,yíníshtaʼ,yíníiltaʼ,deíníiltaʼ
2nd person,yíníłtaʼ,yínółtaʼ,deínółtaʼ
3rd person,yółtaʼ,dayółtaʼ,
4th person,jółtaʼ,dajółtaʼ,
PERFECTIVE,singular,duoplural,plural
1st person,yíłtaʼ,yíiltaʼ,dayíiltaʼ
2nd person,yíníłtaʼ,wóołtaʼ,dawóołtaʼ
3rd person,yiyííłtaʼ,dayííłtaʼ,
4th person,jííłtaʼ,dajííłtaʼ,
FUTURE,singular,duoplural,plural
1st person,yídéeshtah,yídíiltah,deídíiltah
2nd person,yídííłtah,yídóołtah,deídóołtah
3rd person,yídóołtah,deídóołtah,
4th person,yízhdóołtah,deízhdóołtah,
ITERATIVE,singular,duoplural,plural
1st person,néíníshtah,néíníiltah,ńdeíníiltah
2nd person,néíníłtah,néínółtah,ńdeínółtah
3rd person,náyółtah,ńdayółtah,
4th person,ńjółtah,ńdajółtah,
OPTATIVE,singular,duoplural,plural
1st person,yínóshtaʼ,wóoltaʼ,dawóoltaʼ
2nd person,yínóółtaʼ,wóołtaʼ,dawóołtaʼ
3rd person,yóltaʼ,dayółtaʼ,
4th person,jółtaʼ,dajółtaʼ,
