0,1,2,3,4
IMPERFECTIVE,singular,duoplural,plural,
1st person,łinishzhin,łiniijin,dałiniijin,
2nd person,łinízhin,łinohzhin,dałinohzhin,
3rd person,łizhin,daalzhin,,
4th person,jilzhin,dajilzhin,,
dinilzhin (dark gray)  Kéʼ łizhiní (Blackfeet)  naalʼeełí łizhinígíí (scoter),,shash łizhin dóó łigaígíí (panda)  wóláchííʼ yildeełí łizhin dóó łigaígíí  łizhiní,,
Colors in Navajo · nidaashchʼąąʼígíí (layout · text),,,,
łichííʼ,"dinootłʼizh,chʼilgo dootłʼizh",łitso(light yellow: diniltso),dinilgai,łigai
?,?,?,?,dinilchííʼ
diłhiłgo dootłʼizh,dootłʼizh,łichxíʼí(light orange: diniltsxo),łibá(dark gray: dinilzhin),?
łizhin,tsédídéehgo dootłʼizh,"dibéłchíʼí, yishtłizh(dark brown: dinilzhin)",yágo dootłʼizh,dootłʼizhii
