0,1
state,singular (uncountable)
absolute,ܬܪܝܨܘ
construct,ܬܪܝܨܘܬ
emphatic,ܬܪܝܨܘܬܐ
possessive forms,
1st c. sg. (my),ܬܪܝܨܘܬܝ
2nd m. sg. (your),ܬܪܝܨܘܬܟ
2nd f. sg. (your),ܬܪܝܨܘܬܟܝ
3rd m. sg. (his),ܬܪܝܨܘܬܗ
3rd f. sg. (her),ܬܪܝܨܘܬܗ
1st c. pl. (our),ܬܪܝܨܘܬܢ
2nd m. pl. (your),ܬܪܝܨܘܬܟܘܢ
2nd f. pl. (your),ܬܪܝܨܘܬܟܝܢ
3rd m. pl. (their),ܬܪܝܨܘܬܗܘܢ
3rd f. pl. (their),ܬܪܝܨܘܬܗܝܢ
