0,1,2
,singular,plural
bare,پندار (pendâr),پندارها (pendâr-hấ)پندارا (pendârấ) (colloquial)
definitive direct object,پندار را (pendâr râ)پندار رو (pendâro) (colloquial),پندارها را (pendâr-hấ râ)پندارا رو (pendârấ ro) (colloquial)
ezâfé,پندار (pendâr-e),پندارهای (pendâr-hấ-ye)پندارای (pendârấ-ye) (colloquial)
"marked indefinite, relative definite",پنداری (pendâr-i),پندارهایی (pendâr-hấ-i)پندارایی (pendârấi) (colloquial)
,singular,plural
1st person singular (my),پندارم (pendấram),پندارهایم (pendâr-hấyam) پندارهام، پندارام (pendârấm) (colloquial)
2nd person singular (your),پندارت (pendấrat) (pendấret) (colloquial),پندارهایت (pendâr-hấyat) پندارهات، پندارات (pendârất) (colloquial)
3rd person singular (his/her/its),پندارش (pendấraš) (pendấreš) (colloquial),پندارهایش (pendâr-hấyaš) پندارهاش، پنداراش (pendârấš) (colloquial)
,,
1st person plural (our),پندارمان (pendấremân) پندارمون (pendấremun) (colloquial),پندارهایمان (pendâr-hấyemân) پندارهامون، پندارامون (pendârấmun) (colloquial)
2nd person plural (your),پندارتان (pendấretân) پندارتون (pendấretun) (colloquial),پندارهایتان (pendâr-hấyetân) پندارهاتون، پنداراتون (pendârấtun) (colloquial)
3rd person plural (their),پندارشان (pendấrešân) پندارشون (pendấrešun) (colloquial),پندارهایشان (pendâr-hấyešân) پندارهاشون، پنداراشون (pendârấšun) (colloquial)
