0,1,2
Dari,انتها,
Iranian Persian,انتها,
Tajik,интиҳо ‎(intiho),
,singular,plural
bare,انتها (entehấ),انتهاها (entehâ-hấ)
definitive direct object,انتها را (entehấ râ)انتها رو (entehấ ro) (colloquial),انتهاها را (entehâ-hấ râ)انتهاها رو (entehâ-hấ ro) (colloquial)
ezâfé,انتهای (entehấ-ye),انتهاهای (entehâ-hấ-ye)
"marked indefinite, relative definite",انتهایی (entehấ-i),انتهاهایی (entehâ-hấ-i)
,singular,plural
1st person singular (my),انتهایم (entehấyam) انتهام (entehấm) (colloquial),انتهاهایم (entehâ-hấyam) انتهاهام (entehâ-hấm) (colloquial)
2nd person singular (your),انتهایت (entehấyat) انتهات (entehất) (colloquial),انتهاهایت (entehâ-hấyat) انتهاهات (entehâ-hất) (colloquial)
3rd person singular (his/her/its),انتهایش (entehấyaš) انتهاش (entehấš) (colloquial),انتهاهایش (entehâ-hấyaš) انتهاهاش (entehâ-hấš) (colloquial)
,,
1st person plural (our),انتهایمان (entehấyemân) انتهامون (entehấmun) (colloquial),انتهاهایمان (entehâ-hấyemân) انتهاهامون (entehâ-hấmun) (colloquial)
2nd person plural (your),انتهایتان (entehấyetân) انتهاتون (entehấtun) (colloquial),انتهاهایتان (entehâ-hấyetân) انتهاهاتون (entehâ-hấtun) (colloquial)
3rd person plural (their),انتهایشان (entehấyešân) انتهاشون (entehấšun) (colloquial),انتهاهایشان (entehâ-hấyešân) انتهاهاشون (entehâ-hấšun) (colloquial)
