0,1,2,3,4,5
,singular,plural,,,
bare,سرباز (sarbấz),سربازان (sarbâz)سربازا (sarbâzấ) (colloquial),,,
definitive direct object,سرباز را (sarbấz râ)سرباز رو (sarbấzo) (colloquial),سربازان را (sarbâz)سربازا رو (sarbâzấ ro) (colloquial),,,
ezâfé,سرباز (sarbấz-e),سربازان (sarbâz)سربازای (sarbâzấ-ye) (colloquial),,,
"marked indefinite, relative definite",سربازی (sarbấz-i),سربازانی (sarbâz)سربازایی (sarbâzấi) (colloquial),,,
,singular,plural,,,
1st person singular (my),سربازم (sarbấzam),سرباز‌هایم (sarbâz-hấyam) سرباز‌هام، سربازام (sarbâzấm) (colloquial),,,
2nd person singular (your),سربازت (sarbấzat) (sarbấzet) (colloquial),سرباز‌هایت (sarbâz-hấyat) سرباز‌هات، سربازات (sarbâzất) (colloquial),,,
3rd person singular (his/her/its),سربازش (sarbấzaš) (sarbấzeš) (colloquial),سرباز‌هایش (sarbâz-hấyaš) سرباز‌هاش، سربازاش (sarbâzấš) (colloquial),,,
,,,,,
1st person plural (our),سربازمان (sarbấzemân) سربازمون (sarbấzemun) (colloquial),سرباز‌هایمان (sarbâz-hấyemân) سرباز‌هامون، سربازامون (sarbâzấmun) (colloquial),,,
2nd person plural (your),سربازتان (sarbấzetân) سربازتون (sarbấzetun) (colloquial),سرباز‌هایتان (sarbâz-hấyetân) سرباز‌هاتون، سربازاتون (sarbâzấtun) (colloquial),,,
3rd person plural (their),سربازشان (sarbấzešân) سربازشون (sarbấzešun) (colloquial),سرباز‌هایشان (sarbâz-hấyešân) سرباز‌هاشون، سربازاشون (sarbâzấšun) (colloquial),,,
,singular,plural,,,
1st person (I am/we are),سربازم (sarbấzam),سربازیم (sarbấzim),,,
2nd person (you are),سربازی (sarbấzi),سربازید (sarbấzid)سربازین (sarbấzin) (colloquial),,,
"3rd person (he, she, it is/they are)",سرباز است (sarbấz ast) سربازه (sarbấze) (colloquial),سربازند (sarbấzand) سربازن (sarbấzan) (colloquial),,,
Chess pieces in Persian · مهره‌های شطرنج ‎(mohre-hâ šatranj) (layout · text),,,,,
,,,,,
شاه ‎(šâh),وزیر ‎(vazir),"رخ ‎(rox),قلعه ‎(qal'e)",فیل ‎(fil),اسب ‎(asb),"پیاده ‎(piyâde),سرباز ‎(sarbâz)"
