0,1,2,3
,,,
یادشان می‌رفت (yấdešân mí-raft),past (imperfect),یادشان می‌رود (yấdešân mí-ravad),present (imperfect)
,,,
داشت یادشان می‌رفت (dấšt yấdešân mí-raft),past progressive,دارد یادشان می‌رود (dấrad yấdešân mí-ravad),present progressive
,,,
یادشان رفته است (yấdešân rafté ast),present perfect,یادشان رفته بود (yấdešân rafté búd),pluperfect
,,,
,یادشان خواهد رفت (yấdešân xâhád raft),future,
subjunctive,,,
یادشان رفته باشد (yấdešân rafté bấšad),past,یادشان برود (yấdešân béravad),present
یادشون رفتن (yấdešun raftán),infinitive,,
indicative,,,
یادشون رفت (yấdešun raft),past,یادشون ره (yấdešun re),aorist
,,,
یادشون می‌رفت (yấdešun mí-raft),past (imperfect),یادشون می‌ره (yấdešun mí-re),present (imperfect)
,,,
داشت یادشون می‌رفت (dấšt yấdešun mí-raft),past progressive,داره یادشون می‌ره (dấre yấdešun mí-re),present progressive
,,,
یادشون رفته (yấdešun rafté),present perfect,یادشون رفته بود (yấdešun rafté búd),pluperfect
subjunctive,,,
یادشون رفته باشه (yấdešun rafté bấše),past,یادشون بره (yấdešun bére),present
