0,1,2,3,4,5,6,7,8,9
نجات دادن (nejât dâdán),infinitive,,,,,,,,
,,,,,,,,,
نجات داد (nejât dâd),past stem,نجات ده (nejât deh),present stem,,,,,,
نجات داده (nejât dâdé),past participle,نجات دهنده (nejât dehandé),present participle,,,,,,
indicative,,,,,,,,,
نجات دادیم (nejât dấdim),ما,نجات دادم (nejât dấdam),من,past,نجات دهیم (nejât déhim),ما,نجات دهم (nejât déham),من,aorist
نجات دادید (nejât dấdid),شما,نجات دادی (nejât dấdi),تو,نجات دهید (nejât déhid),شما,نجات دهی (nejât déhi),تو,,
نجات دادند (nejât dấdand),آنها,نجات داد (nejât dâd),وی,نجات دهند (nejât déhand),آنها,نجات دهد (nejât déhad),وی,,
,,,,,,,,,
نجات می‌دادیم (nejât mí-dâdim),ما,نجات می‌دادم (nejât mí-dâdam),من,past (imperfect),نجات می‌دهیم (nejât mí-dehim),ما,نجات می‌دهم (nejât mí-deham),من,present (imperfect)
نجات می‌دادید (nejât mí-dâdid),شما,نجات می‌دادی (nejât mí-dâdi),تو,نجات می‌دهید (nejât mí-dehid),شما,نجات می‌دهی (nejât mí-dehi),تو,,
نجات می‌دادند (nejât mí-dâdand),آنها,نجات می‌داد (nejât mí-dâd),وی,نجات می‌دهند (nejât mí-dehand),آنها,نجات می‌دهد (nejât mí-dehad),وی,,
,,,,,,,,,
داشتیم نجات می‌دادیم (dấštim nejât mí-dâdim),ما,داشتم نجات می‌دادم (dấštam nejât mí-dâdam),من,past progressive,داریم نجات می‌دهیم (dấrim nejât mí-dehim),ما,دارم نجات می‌دهم (dấram nejât mí-deham),من,present progressive
داشتید نجات می‌دادید (dấštid nejât mí-dâdid),شما,داشتی نجات می‌دادی (dấšti nejât mí-dâdi),تو,دارید نجات می‌دهید (dấrid nejât mí-dehid),شما,داری نجات می‌دهی (dấri nejât mí-dehi),تو,,
داشتند نجات می‌دادند (dấštand nejât mí-dâdand),آنها,داشت نجات می‌داد (dâšt nejât mí-dâd),وی,دارند نجات می‌دهند (dấrand nejât mí-dehand),آنها,دارد نجات می‌دهد (dấrad nejât mí-dehad),وی,,
,,,,,,,,,
نجات داده‌ایم (nejât dâdé-im),ما,نجات داده‌ام (nejât dâdé-am),من,present perfect,نجات داده بودیم (nejât dâdé búdim),ما,نجات داده بودم (nejât dâdé búdam),من,pluperfect
نجات داده‌اید (nejât dâdé-id),شما,نجات داده‌ای (nejât dâdé-i),تو,نجات داده بودید (nejât dâdé búdid),شما,نجات داده بودی (nejât dâdé búdi),تو,,
نجات داده‌اند (nejât dâdé-and),آنها,نجات داده است (nejât dâdé ast),وی,نجات داده بودند (nejât dâdé búdand),آنها,نجات داده بود (nejât dâdé bud),وی,,
,,,,,,,,,
,نجات خواهیم داد (nejât xâhím dâd),ما,نجات خواهم داد (nejât xâhám dâd),من,future,,,,
نجات خواهید داد (nejât xâhíd dâd),شما,نجات خواهی داد (nejât xâhí dâd),تو,,,,,,
نجات خواهند داد (nejât xâhánd dâd),آنها,نجات خواهد داد (nejât xâhád dâd),وی,,,,,,
subjunctive,,,,,,,,,
نجات داده باشیم (nejât dâdé bấšim),ما,نجات داده باشم (nejât dâdé bấšam),من,past,نجات بدهیم (nejât bédehim),ما,نجات بدهم (nejât bédeham),من,present
نجات داده باشید (nejât dâdé bấšid),شما,نجات داده باشی (nejât dâdé bấši),تو,نجات بدهید (nejât bédehid),شما,نجات بدهی (nejât bédehi),تو,,
نجات داده باشند (nejât dâdé bấšand),آنها,نجات داده باشد (nejât dâdé bấšad),وی,نجات بدهند (nejât bédehand),آنها,نجات بدهد (nejât bédehad),وی,,
,,,,,,,,,
,نجات بدهید (nejât bédehid),شما,نجات بده (nejât bédeh),تو,imperative,,,,
نجات دادن (nejât dâdán),infinitive,,,,,,,,
,,,,,,,,,
نجات داد (nejât dâd),past stem,نجات ده (nejât de),present stem,,,,,,
نجات داده (nejât dâdé),past participle,نجات دهنده (nejât dahandé),present participle,,,,,,
indicative,,,,,,,,,
نجات دادیم (nejât dấdim),ما,نجات دادم (nejât dấdam),من,past,نجات دیم (nejât dim),ما,نجات دم (nejât dam),من,aorist
نجات دادین (nejât dấdin),شما,نجات دادی (nejât dấdi),تو,نجات دین (nejât din),شما,نجات دی (nejât di),تو,,
نجات دادن (nejât dấdan),اونها,نجات داد (nejât dấd),اون,نجات دن (nejât dan),اونها,نجات ده (nejât de),اون,,
,,,,,,,,,
نجات می‌دادیم (nejât mí-dâdim),ما,نجات می‌دادم (nejât mí-dâdam),من,past (imperfect),نجات می‌دیم (nejât mí-dim),ما,نجات می‌دم (nejât mí-dam),من,present (imperfect)
نجات می‌دادین (nejât mí-dâdin),شما,نجات می‌دادی (nejât mí-dâdi),تو,نجات می‌دین (nejât mí-din),شما,نجات می‌دی (nejât mí-di),تو,,
نجات می‌دادن (nejât mí-dâdan),اونها,نجات می‌داد (nejât mí-dâd),اون,نجات می‌دن (nejât mí-dan),اونها,نجات می‌ده (nejât mí-de),اون,,
,,,,,,,,,
داشتیم نجات می‌دادیم (dấštim nejât mí-dâdim),ما,داشتم نجات می‌دادم (dấštam nejât mí-dâdam),من,past progressive,داریم نجات می‌دیم (dấrim nejât mí-dim),ما,دارم نجات می‌دم (dấram nejât mí-dam),من,present progressive
داشتین نجات می‌دادین (dấštin nejât mí-dâdin),شما,داشتی نجات می‌دادی (dấšti nejât mí-dâdi),تو,دارین نجات می‌دین (dấrin nejât mí-din),شما,داری نجات می‌دی (dấri nejât mí-di),تو,,
داشتن نجات می‌دادن (dấštan nejât mí-dâdan),اونها,داشت نجات می‌داد (dấšt nejât mí-dâd),اون,دارن نجات می‌دن (dấran nejât mí-dan),اونها,داره نجات می‌ده (dấre nejât mí-de),اون,,
,,,,,,,,,
نجات داده‌ایم (nejât dâdím),ما,نجات داده‌ام (nejât dâdám),من,present perfect,نجات داده بودیم (nejât dâdé búdim),ما,نجات داده بودم (nejât dâdé búdam),من,pluperfect
نجات داده‌این (nejât dâdín),شما,نجات داده‌ای (nejât dâdí),تو,نجات داده بودین (nejât dâdé búdin),شما,نجات داده بودی (nejât dâdé búdi),تو,,
نجات داده‌ان (nejât dâdán),اونها,نجات داده (nejât dâdé),اون,نجات داده بودن (nejât dâdé búdan),اونها,نجات داده بود (nejât dâdé bud),اون,,
subjunctive,,,,,,,,,
نجات داده باشیم (nejât dâdé bấšim),ما,نجات داده باشم (nejât dâdé bấšam),من,past,نجات بدیم (nejât bédim),ما,نجات بدم (nejât bédam),من,present
نجات داده باشین (nejât dâdé bấšin),شما,نجات داده باشی (nejât dâdé bấši),تو,نجات بدین (nejât bédin),شما,نجات بدی (nejât bédi),تو,,
نجات داده باشن (nejât dâdé bấšan),اونها,نجات داده باشه (nejât dâdé bấše),اون,نجات بدن (nejât bédan),اونها,نجات بده (nejât béde),اون,,
,,,,,,,,,
,نجات بدین (nejât bédin),شما,نجات بده (nejât béde),تو,imperative,,,,
نجات دادن (nejât dâdán),infinitive,,,,,,,,
,,,,,,,,,
نجات داد (nejât dâd),past stem,نجات ده (nejât de),present stem,,,,,,
نجات داده (nejât dâdé),past participle,نجات دهنده (nejât dehandé),present participle,,,,,,
indicative,,,,,,,,,
نجات دادیم (nejât dấdim),ما,نجات دادم (nejât dấdam),من,past,نجات دیم (nejât deym),ما,نجات دم (nejât dam),من,aorist
نجات دادین (nejât dấdin),شما,نجات دادی (nejât dấdi),تو,نجات دین (nejât deyn),شما,نجات دی (nejât dey),تو,,
نجات دادن (nejât dấdan),اونها,نجات داد (nejât dấd),اون,نجات دن (nejât dan),اونها,نجات ده (nejât dey),اون,,
,,,,,,,,,
نجات می‌دادیم (nejât mí-dâdim),ما,نجات می‌دادم (nejât mí-dâdam),من,past (imperfect),نجات می‌دیم (nejât mí-deym),ما,نجات می‌دم (nejât mí-dam),من,present (imperfect)
نجات می‌دادین (nejât mí-dâdin),شما,نجات می‌دادی (nejât mí-dâdi),تو,نجات می‌دین (nejât mí-deyn),شما,نجات می‌دی (nejât mí-dey),تو,,
نجات می‌دادن (nejât mí-dâdan),اونها,نجات می‌داد (nejât mí-dâd),اون,نجات می‌دن (nejât mí-dan),اونها,نجات می‌ده (nejât mí-de),اون,,
,,,,,,,,,
داشتیم نجات می‌دادیم (dấštim nejât mí-dâdim),ما,داشتم نجات می‌دادم (dấštam nejât mí-dâdam),من,past progressive,داریم نجات می‌دیم (dấrim nejât mí-dim),ما,دارم نجات می‌دم (dấram nejât mí-dam),من,present progressive
داشتین نجات می‌دادین (dấštin nejât mí-dâdin),شما,داشتی نجات می‌دادی (dấšti nejât mí-dâdi),تو,دارین نجات می‌دین (dấrin nejât mí-deyn),شما,داری نجات می‌دی (dấri nejât mí-dey),تو,,
داشتن نجات می‌دادن (dấštan nejât mí-dâdan),اونها,داشت نجات می‌داد (dấšt nejât mí-dâd),اون,دارن نجات می‌دن (dấran nejât mí-dan),اونها,داره نجات می‌ده (dấre nejât mí-de),اون,,
,,,,,,,,,
نجات داده‌یم (nejât dâdéym),ما,نجات داده‌م (nejât dâdám),من,present perfect,نجات داده بودیم (nejât dâdé búdim),ما,نجات داده بودم (nejât dâdé búdam),من,pluperfect
نجات داده‌ین (nejât dâdéyn),شما,نجات داده‌ی (nejât dâdéy),تو,نجات داده بودین (nejât dâdé búdin),شما,نجات داده بودی (nejât dâdé búdi),تو,,
نجات داده‌ن (nejât dâdán),اونها,نجات داده (nejât dâdé),اون,نجات داده بودن (nejât dâdé búdan),اونها,نجات داده بود (nejât dâdé bud),اون,,
subjunctive,,,,,,,,,
نجات داده باشیم (nejât dâdé bấšim),ما,نجات داده باشم (nejât dâdé bấšam),من,past,نجات بدیم (nejât bédeym),ما,نجات بدم (nejât bédam),من,present
نجات داده باشین (nejât dâdé bấšin),شما,نجات داده باشی (nejât dâdé bấši),تو,نجات بدین (nejât bédeyn),شما,نجات بدی (nejât bédey),تو,,
نجات داده باشن (nejât dâdé bấšan),اونها,نجات داده باشه (nejât dâdé bấše),اون,نجات بدن (nejât bédan),اونها,نجات بده (nejât béde),اون,,
,,,,,,,,,
,نجات بدین (nejât bédin),شما,نجات بده (nejât béde),تو,imperative,,,,
