0,1,2
Dari,پایه,
Iranian Persian,پایه,
Tajik,поя ‎(poya),
,singular,plural
bare,پایه (pâyé),پایه‌ها (pâye-hấ)پایه‌ا (pâyeấ) (colloquial)
definitive direct object,پایه را (pâyé râ)پایه رو (pâyá ro) (colloquial),پایه‌ها را (pâye-hấ râ)پایه‌ا رو (pâyeấ ro) (colloquial)
ezâfé,پایهٔ (pâyé-ye),پایه‌های (pâye-hấ-ye)پایه‌ای (pâyeấ-ye) (colloquial)
"marked indefinite, relative definite",پایه‌ای (pâyé-i),پایه‌هایی (pâye-hấ-yi)پایه‌ایی (pâyeấ-yi) (colloquial)
,singular,plural
1st person singular (my),پایه‌ام (pâyé-am) پایم (pâyám) (colloquial),پایه‌هایم (pâye-hấyam) پایه‌هام (pâyeấm) (colloquial)
2nd person singular (your),پایه‌ات (pâyé-at) پایت (pâyát) (colloquial),پایه‌هایت (pâye-hấyat) پایه‌هات (pâyeất) (colloquial)
3rd person singular (his/her/its),پایه‌اش (pâyé-aš) پایش (pâyáš) (colloquial),پایه‌هایش (pâye-hấyaš) پایه‌هاش (pâyeấš) (colloquial)
,,
1st person plural (our),پایه‌مان (pâyé-(y)emân) پایه‌مون، پایمون (pâyámun) (colloquial),پایه‌هایمان (pâye-hấyemân) پایه‌هامون (pâyeấmun) (colloquial)
2nd person plural (your),پایه‌تان (pâyé-(y)etân) پایه‌تون، پایتون (pâyátun) (colloquial),پایه‌هایتان (pâye-hấyetân) پایه‌هاتون (pâyeấtun) (colloquial)
3rd person plural (their),پایه‌شان (pâyé-(y)ešân) پایه‌شون، پایشون (pâyášun) (colloquial),پایه‌هایشان (pâye-hấyešân) پایه‌هاشون (pâyeấšun) (colloquial)
