0,1,2
,singular,plural
absolute,entsiklopediya,entsiklopediyalar
definite accusative,entsiklopediyanı,entsiklopediyalarnı
dative,entsiklopediyağa,entsiklopediyalarğa
locative,entsiklopediyada,entsiklopediyalarda
ablative,entsiklopediyadan,entsiklopediyalardan
definite genitive,entsiklopediyanıñ,entsiklopediyalarnıñ
