0,1,2
Dari,رفیق,
Iranian Persian,رفیق,
Tajik,рафиқ ‎(rafiq),
,singular,plural
bare,рафиқ (rafiq),рафиқон (rafiqon)
izofa,рафиқи (rafiqi),рафиқони (rafiqoni)
"marked indefinite, relative definite",рафиқе (rafiqe),—
,singular,plural
1st person singular (my),рафиқам (rafiqam),рафиқонам (rafiqonam)
2nd person singular (your),рафиқат (rafiqat),рафиқонат (rafiqonat)
3rd person singular (his/her/its),рафиқаш (rafiqaš),рафиқонаш (rafiqonaš)
,,
1st person plural (our),рафиқамон (rafiqamon),рафиқонамон (rafiqonamon)
2nd person plural (your),рафиқатон (rafiqaton),рафиқонатон (rafiqonaton)
3rd person plural (their),рафиқашон (rafiqašon),рафиқонашон (rafiqonašon)
