0,1,2,3,4,5,6,7,8
Infinitive,sejtetni,,,,,,,
Past participle,sejtetett,,,,,,,
Present participle,sejtető,,,,,,,
Future participle,sejtetendő,,,,,,,
Adverbial participle,sejtetve,,,,,,,
Potential,sejtethet,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,sejtetek,sejtetsz,sejtet,sejtetünk,sejtettek,sejtetnek
Definite,sejtetem én téged/titeketsejtetlek,sejteted,sejteti,sejtetjük,sejtetitek,sejtetik,,
Past,Indefinite,sejtettem,sejtettél,sejtetett,sejtettünk,sejtettetek,sejtettek,
Definite,sejtettemén téged/titeketsejtettelek,sejtetted,sejtette,sejtettük,sejtettétek,sejtették,,
Conditional Mood,Present,Indefinite,sejtetnék,sejtetnél,sejtetne,sejtetnénk,sejtetnétek,sejtetnének
Definite,sejtetnémén téged/titeketsejtetnélek,sejtetnéd,sejtetné,sejtetnénk,sejtetnétek,sejtetnék,,
Subjunctive Mood,Present,Indefinite,sejtessek,sejtessorsejtessél,sejtessen,sejtessünk,sejtessetek,sejtessenek
Definite,sejtessemén téged/titeketsejtesselek,sejtesdorsejtessed,sejtesse,sejtessük,sejtessétek,sejtessék,,
Conjugated Infinitive,sejtetnem,sejtetned,sejtetnie,sejtetnünk,sejtetnetek,sejtetniük,,
