0,1,2
"Inflection (plural in -ak, back harmony)",,
,singular,plural
nominative,fóliasátor,fóliasátrak
accusative,fóliasátrat,fóliasátrakat
dative,fóliasátornak,fóliasátraknak
instrumental,fóliasátorral,fóliasátrakkal
causal-final,fóliasátorért,fóliasátrakért
translative,fóliasátorrá,fóliasátrakká
terminative,fóliasátorig,fóliasátrakig
essive-formal,fóliasátorként,fóliasátrakként
essive-modal,—,—
inessive,fóliasátorban,fóliasátrakban
superessive,fóliasátoron,fóliasátrakon
adessive,fóliasátornál,fóliasátraknál
illative,fóliasátorba,fóliasátrakba
sublative,fóliasátorra,fóliasátrakra
allative,fóliasátorhoz,fóliasátrakhoz
elative,fóliasátorból,fóliasátrakból
delative,fóliasátorról,fóliasátrakról
ablative,fóliasátortól,fóliasátraktól
Possessive forms of fóliasátor,,
possessor,single possession,multiple possessions
1st person sing.,fóliasátram,fóliasátraim
2nd person sing.,fóliasátrad,fóliasátraid
3rd person sing.,fóliasátra,fóliasátrai
1st person plural,fóliasátrunk,fóliasátraink
2nd person plural,fóliasátratok,fóliasátraitok
3rd person plural,fóliasátruk,fóliasátraik
Possessive forms of fóliasátor,,
possessor,single possession,multiple possessions
1st person sing.,fóliasátorom,fóliasátoraim
2nd person sing.,fóliasátorod,fóliasátoraid
3rd person sing.,fóliasátora,fóliasátorai
1st person plural,fóliasátorunk,fóliasátoraink
2nd person plural,fóliasátorotok,fóliasátoraitok
3rd person plural,fóliasátoruk,fóliasátoraik
