0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
főherceg  főigazgató  főiskola  főképp,,főképpen  főmufti  főnév  főoldal  főoltár,,főorvos  főpolgármester  főposta  főszerep  főszereplő,,főszerkesztő  főtitkár  főút  főváros,,
"Inflection (plural in -k, front rounded harmony)",,,,,,,,
,singular,plural,,,,,,
nominative,fő,fők,,,,,,
accusative,főt,főket,,,,,,
dative,főnek,főknek,,,,,,
instrumental,fővel,főkkel,,,,,,
causal-final,főért,főkért,,,,,,
translative,fővé,főkké,,,,,,
terminative,főig,főkig,,,,,,
essive-formal,főként,főkként,,,,,,
essive-modal,—,—,,,,,,
inessive,főben,főkben,,,,,,
superessive,főn,főkön,,,,,,
adessive,főnél,főknél,,,,,,
illative,főbe,főkbe,,,,,,
sublative,főre,főkre,,,,,,
allative,főhöz,főkhöz,,,,,,
elative,főből,főkből,,,,,,
delative,főről,főkről,,,,,,
ablative,főtől,főktől,,,,,,
Possessive forms of fő,,,,,,,,
possessor,single possession,multiple possessions,,,,,,
1st person sing.,főm,főim,,,,,,
2nd person sing.,főd,főid,,,,,,
3rd person sing.,fője,fői,,,,,,
1st person plural,főnk,főink,,,,,,
2nd person plural,főtök,főitek,,,,,,
3rd person plural,főjük,főik,,,,,,
államfő  asztalfő  családfő,,főkötő  hétfő,,hídfő  kormányfő,,oszlopfő  törzsfő,,
Infinitive,főni,,,,,,,
Past participle,főtt,,,,,,,
Present participle,fövő,,,,,,,
Future participle,-,,,,,,,
Adverbial participle,főve,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,fövök,fősz,fő,fövünk,főttök,főnek
Definite,"intransitive verb, definite forms are not used",,,,,,,
Past,Indefinite,főttem,főttél,főtt,főttünk,főttetek,főttek,
Definite,-,,,,,,,
Conditional Mood,Present,Indefinite,főnék,főnél,főne,főnénk,főnétek,főnének
Definite,-,,,,,,,
Subjunctive Mood,Present,Indefinite,főjek,főjorfőjél,főjön,főjünk,főjetek,főjenek
Definite,-,,,,,,,
Conjugated Infinitive,főnöm,főnöd,főnie,főnünk,főnötök,főniük,,
