0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
Infinitive,lesni,,,,,,,
Past participle,lesett,,,,,,,
Present participle,leső,,,,,,,
Future participle,lesendő,,,,,,,
Adverbial participle,lesve,,,,,,,
Potential,leshet,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,lesek,lesel,les,lesünk,lestek,lesnek
Definite,lesem én téged/titeketleslek,lesed,lesi,lessük,lesitek,lesik,,
Past,Indefinite,lestem,lestél,lesett,lestünk,lestetek,lestek,
Definite,lestemén téged/titeketlestelek,lested,leste,lestük,lestétek,lesték,,
Conditional Mood,Present,Indefinite,lesnék,lesnél,lesne,lesnénk,lesnétek,lesnének
Definite,lesnémén téged/titeketlesnélek,lesnéd,lesné,lesnénk,lesnétek,lesnék,,
Subjunctive Mood,Present,Indefinite,lessek,lessorlessél,lessen,lessünk,lessetek,lessenek
Definite,lessemén téged/titeketlesselek,lesdorlessed,lesse,lessük,lessétek,lessék,,
Conjugated Infinitive,lesnem,lesned,lesnie,lesnünk,lesnetek,lesniük,,
