0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
dative,хвалѧщюѥмоу,хвалѧщиима,хвалѧщиимъ,хвалѧщии,хвалѧщиима,хвалѧщиимъ,хвалѧщюѥмоу,хвалѧщиима,хвалѧщиимъ,,,,,,,,,,,
accusative,хвалѧщьи,хвалѧщаꙗ,хвалѧщѧѩ,хвалѧщѫѭ,хвалѧщии,хвалѧщѧѩ,хвалѧщеѥ,хвалѧщи,хвалѧщаꙗ,,,,,,,,,,,
instrumental,хвалѧщиимь,хвалѧщиима,хвалѧщиими,хвалѧщеѭ,хвалѧщиима,хвалѧщиими,хвалѧщиимь,хвалѧщиима,хвалѧщиими,,,,,,,,,,,
locative,хвалѧщиимь,хвалѧщюю,хвалѧщиихъ,хвалѧщии,хвалѧщюю,хвалѧщиихъ,хвалѧщиимь,хвалѧщюю,хвалѧщиихъ,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,хвалимъ,хвалима,хвалими,хвалима,хвалимѣ,хвалимꙑ,хвалимо,хвалимѣ,хвалима,,,,,,,,,,,
genitive,хвалима,хвалимоу,хвалимъ,хвалимꙑ,хвалимоу,хвалимъ,хвалима,хвалимоу,хвалимъ,,,,,,,,,,,
dative,хвалимоу,хвалимома,хвалимомъ,хвалимѣ,хвалимама,хвалимамъ,хвалимоу,хвалимома,хвалимомъ,,,,,,,,,,,
accusative,хвалимъ,хвалима,хвалимꙑ,хвалимѫ,хвалимѣ,хвалимꙑ,хвалимо,хвалимѣ,хвалима,,,,,,,,,,,
instrumental,хвалимомь,хвалимома,хвалимꙑ,хвалимоѭ,хвалимама,хвалимами,хвалимомь,хвалимома,хвалимꙑ,,,,,,,,,,,
locative,хвалимѣ,хвалимоу,хвалимѣхъ,хвалимѣ,хвалимоу,хвалимахъ,хвалимꙑ,хвалимоу,хвалимѣхъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,хвалимꙑи,хвалимаꙗ,хвалимии,хвалимаꙗ,хвалимѣи,хвалимꙑѩ,хвалимоѥ,хвалимѣи,хвалимаꙗ,,,,,,,,,,,
genitive,хвалимaѥго,хвалимоую,хвалимꙑихъ,хвалимꙑѩ,хвалимоую,хвалимꙑихъ,хвалимаѥго,хвалимоую,хвалимꙑихъ,,,,,,,,,,,
dative,хвалимоуѥмоу,хвалимꙑима,хвалимꙑимъ,хвалимѣи,хвалимꙑима,хвалимꙑимъ,хвалимоуѥмоу,хвалимꙑима,хвалимꙑимъ,,,,,,,,,,,
accusative,хвалимꙑи,хвалимаꙗ,хвалимꙑѩ,хвалимѫѭ,хвалимѣи,хвалимꙑѩ,хвалимоѥ,хвалимѣи,хвалимаꙗ,,,,,,,,,,,
instrumental,хвалимꙑимь,хвалимꙑима,хвалимꙑими,хвалимоѭ,хвалимꙑима,хвалимꙑими,хвалимꙑимь,хвалимꙑима,хвалимꙑими,,,,,,,,,,,
locative,хвалимѣѥмь,хвалимоую,хвалимꙑихъ,хвалимѣи,хвалимоую,хвалимꙑихъ,хвалимѣѥмь,хвалимоую,хвалимꙑихъ,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,хваль,хвальша,хвальше,хвальши,хвальши,хвальшѧ,хваль,хвальши,хвальша,,,,,,,,,,,
genitive,хвальша,хвальшю,хвальшь,хвальшѧ,хвальшю,хвальшь,хвальша,хвальшю,хвальшь,,,,,,,,,,,
dative,хвальшю,хвальшема,хвальшемъ,хвальши,хвальшама,хвальшамъ,хвальшю,хвальшема,хвальшемъ,,,,,,,,,,,
accusative,хвальшь,хвальша,хвальшѧ,хвальшѫ,хвальши,хвальшѧ,хваль,хвальши,хвальша,,,,,,,,,,,
instrumental,хвальшемь,хвальшема,хвальши,хвальшеѭ,хвальшама,хвальшами,хвальшемь,хвальшема,хвальши,,,,,,,,,,,
locative,хвальши,хвальшю,хвальшихъ,хвальши,хвальшю,хвальшахъ,хвальши,хвальшю,хвальшихъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,хвальи,хвальшаꙗ,хвальшеи,хвальшиꙗ,хвальшии,хвальшѧѩ,хвальшеѥ,хвальши,хвальшаꙗ,,,,,,,,,,,
genitive,хвальшаѥго,хвальшюю,хвальшиихъ,хвальшѧѩ,хвальшюю,хвальшиихъ,хвальшаѥго,хвальшюю,хвальшиихъ,,,,,,,,,,,
dative,хвальшюѥмоу,хвальшиима,хвальшиимъ,хвальшии,хвальшиима,хвальшиимъ,хвальшюѥмоу,хвальшиима,хвальшиимъ,,,,,,,,,,,
accusative,хвальшьи,хвальшаꙗ,хвальшѧѩ,хвальшѫѭ,хвальшии,хвальшѧѩ,хвальшеѥ,хвальши,хвальшаꙗ,,,,,,,,,,,
instrumental,хвальшиимь,хвальшиима,хвальшиими,хвальшеѭ,хвальшиима,хвальшиими,хвальшиимь,хвальшиима,хвальшиими,,,,,,,,,,,
locative,хвальшиимь,хвальшюю,хвальшиихъ,хвальшии,хвальшюю,хвальшиихъ,хвальшиимь,хвальшюю,хвальшиихъ,,,,,,,,,,,
masculine,feminine,neuter,,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
хвалилъ,хвалила,хвалили,хвалила,хвалилѣ,хвалилꙑ,хвалило,хвалилѣ,хвалила,,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,хваленъ,хвалена,хвалени,хвалена,хваленѣ,хваленꙑ,хвалено,хваленѣ,хвалена,,,,,,,,,,,
genitive,хвалена,хваленоу,хваленъ,хваленꙑ,хваленоу,хваленъ,хвалена,хваленоу,хваленъ,,,,,,,,,,,
dative,хваленоу,хваленома,хваленомъ,хваленѣ,хваленама,хваленамъ,хваленоу,хваленома,хваленомъ,,,,,,,,,,,
accusative,хваленъ,хвалена,хваленꙑ,хваленѫ,хваленѣ,хваленꙑ,хвалено,хваленѣ,хвалена,,,,,,,,,,,
instrumental,хваленомь,хваленома,хваленꙑ,хваленоѭ,хваленама,хваленами,хваленомь,хваленома,хваленꙑ,,,,,,,,,,,
locative,хваленѣ,хваленоу,хваленѣхъ,хваленѣ,хваленоу,хваленахъ,хваленꙑ,хваленоу,хваленѣхъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,хваленꙑи,хваленаꙗ,хвалении,хваленаꙗ,хваленѣи,хваленꙑѩ,хваленоѥ,хваленѣи,хваленаꙗ,,,,,,,,,,,
genitive,хваленaѥго,хваленоую,хваленꙑихъ,хваленꙑѩ,хваленоую,хваленꙑихъ,хваленаѥго,хваленоую,хваленꙑихъ,,,,,,,,,,,
dative,хваленоуѥмоу,хваленꙑима,хваленꙑимъ,хваленѣи,хваленꙑима,хваленꙑимъ,хваленоуѥмоу,хваленꙑима,хваленꙑимъ,,,,,,,,,,,
accusative,хваленꙑи,хваленаꙗ,хваленꙑѩ,хваленѫѭ,хваленѣи,хваленꙑѩ,хваленоѥ,хваленѣи,хваленаꙗ,,,,,,,,,,,
instrumental,хваленꙑимь,хваленꙑима,хваленꙑими,хваленоѭ,хваленꙑима,хваленꙑими,хваленꙑимь,хваленꙑима,хваленꙑими,,,,,,,,,,,
locative,хваленѣѥмь,хваленоую,хваленꙑихъ,хваленѣи,хваленоую,хваленꙑихъ,хваленѣѥмь,хваленоую,хваленꙑихъ,,,,,,,,,,,
Russian: хвалить ‎(xvalitʹ)  Serbo-Croatian:  Cyrillic: хва́лити  Roman: hváliti,,,,,,,,,,,,,,,,,,,,
