0,1,2,3,4,5,6,7,8,9,10,11
Personal forms,,,,,,,,,,,
,Indicative,Conditional,Imperative,,,,,,,,
Present,Present(situative),Future,Imperfect,Imperfect(situative),Preterite,Present (habitual),Imperfect (habitual),Present,Imperfect,,
1s,on,emaon,"bin, bezin",oan,edon,boen,bezan,bezen,"befen, ben",bijen,-
2s,out,emaout,"bi, bezi",oas,edos,boes,bezez,bezes,"befes, bes",bijes,bez
3s,"zo, eo, eus*",emañ,"bo, bezo",oa,edo,boe,bez,beze,"befe, be",bije,bezet
1p,omp,emaomp,"bimp, bezimp",oamp,edomp,boemp,bezomp,bezemp,"befemp, bemp",bijemp,bezomp
2p,oc'h,emaoc'h,biot,oac'h,edoc'h,boec'h,bezit,bezec'h,"befec'h, bec'h",bijec'h,bezit
3p,int,emaint,"bent, bezint",oant,edont,boent,bezont,bezent,"befent, bent",bijent,bezent
0,"oar, eur",emeur,bior,oad,edod,boed,bezer,bezed,befed,bijed,-
Impersonal forms,Mutated forms,,,,,,,,,,
"Infinitive: bezañ, (older) bout, bezout Present participle: o vezañ Past participle: bet (auxiliary verb: bezañ)",Soft mutation after a: a vez- Mixed mutation after e: e vez- (e usually becomes ez before vowels) Soft mutation after ne/na: ne/na vez- (n' before vowels),,,,,,,,,,
Breton consonant mutation,,,,,,,,,,,
unmutated,soft,aspirate,hard,mixed,,,,,,,
bezañ,vezañ,unchanged,pezañ,vezañ,,,,,,,
