0,1,2,3,4,5
indicative,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,ütlen,ei ütle,1st sing.,olen ütelnud,ei ole ütelnudpole ütelnud
2nd sing.,ütled,2nd sing.,oled ütelnud,,
3rd sing.,ütleb,3rd sing.,on ütelnud,,
1st plur.,ütleme,1st plur.,oleme ütelnud,,
2nd plur.,ütlete,2nd plur.,olete ütelnud,,
3rd plur.,ütlevad,3rd plur.,on ütelnud,,
passive,üteldakse,ei ütelda,passive,on üteldud,ei ole üteldudpole üteldud
past,pluperfect,,,,
person,positive,negative,person,positive,negative
1st sing.,ütlesin,ei ütelnud,1st sing.,olin ütelnud,ei olnud ütelnudpolnud ütelnud
2nd sing.,ütlesid,2nd sing.,olid ütelnud,,
3rd sing.,ütles,3rd sing.,oli ütelnud,,
1st plur.,ütlesime,1st plur.,olime ütelnud,,
2nd plur.,ütlesite,2nd plur.,olite ütelnud,,
3rd plur.,ütlesid,3rd plur.,oli ütelnud,,
passive,üteldi,ei üteldud,passive,oli üteldud,ei olnud üteldudpolnud üteldud
conditional,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,ütleksin,ei ütleks,1st sing.,oleksin ütelnud,ei oleks ütelnudpoleks ütelnud
2nd sing.,ütleksid,2nd sing.,oleksid ütelnud,,
3rd sing.,ütleks,3rd sing.,oleks ütelnud,,
1st plur.,ütleksime,1st plur.,oleksime ütelnud,,
2nd plur.,ütleksite,2nd plur.,oleksite ütelnud,,
3rd plur.,ütleksid,3rd plur.,oleksid ütelnud,,
passive,üteldaks,ei üteldaks,passive,oleks üteldud,ei oleks üteldudpoleks üteldud
imperative,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,—,—,1st sing.,—,—
2nd sing.,ütle,ära ütle,2nd sing.,—,—
3rd sing.,ütelgu,ärgu ütelgu,3rd sing.,olgu ütelnud,ärgu olgu ütelnud
1st plur.,ütelgem,ärgem ütelgem,1st plur.,—,—
2nd plur.,ütelge,ärge ütelge,2nd plur.,—,—
3rd plur.,ütelgu,ärgu ütelgu,3rd plur.,olgu ütelnud,ärgu olgu ütelnud
passive,üteldagu,ärgu üteldagu,passive,olgu üteldud,ärgu olgu üteldud
quotative,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
active,ütlevat,ei ütlevat,active,olevat ütelnud,ei olevat ütelnudpolevat ütelnud
passive,üteldavat,ei üteldavat,passive,olevat üteldud,ei olevat üteldudpolevat üteldud
Nominal forms,,,,,
ma-infinitive,da-infinitive,,,,
,active,passive,da-form,ütelda,
nominative,ütlema,üteldama,des-form,üteldes,
inessive,ütlemas,—,participle,,
elative,ütlemast,—,,active,passive
translative,ütlemaks,—,present,ütlev,üteldav
abessive,ütlemata,—,past,ütelnud,üteldud
indicative,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,ütlen,ei ütle,1st sing.,olen öelnud,ei ole öelnudpole öelnud
2nd sing.,ütled,2nd sing.,oled öelnud,,
3rd sing.,ütleb,3rd sing.,on öelnud,,
1st plur.,ütleme,1st plur.,oleme öelnud,,
2nd plur.,ütlete,2nd plur.,olete öelnud,,
3rd plur.,ütlevad,3rd plur.,on öelnud,,
passive,öeldakse,ei öelda,passive,on öeldud,ei ole öeldudpole öeldud
past,pluperfect,,,,
person,positive,negative,person,positive,negative
1st sing.,ütlesin,ei öelnud,1st sing.,olin öelnud,ei olnud öelnudpolnud öelnud
2nd sing.,ütlesid,2nd sing.,olid öelnud,,
3rd sing.,ütles,3rd sing.,oli öelnud,,
1st plur.,ütlesime,1st plur.,olime öelnud,,
2nd plur.,ütlesite,2nd plur.,olite öelnud,,
3rd plur.,ütlesid,3rd plur.,oli öelnud,,
passive,öeldi,ei öeldud,passive,oli öeldud,ei olnud öeldudpolnud öeldud
conditional,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,ütleksin,ei ütleks,1st sing.,oleksin öelnud,ei oleks öelnudpoleks öelnud
2nd sing.,ütleksid,2nd sing.,oleksid öelnud,,
3rd sing.,ütleks,3rd sing.,oleks öelnud,,
1st plur.,ütleksime,1st plur.,oleksime öelnud,,
2nd plur.,ütleksite,2nd plur.,oleksite öelnud,,
3rd plur.,ütleksid,3rd plur.,oleksid öelnud,,
passive,öeldaks,ei öeldaks,passive,oleks öeldud,ei oleks öeldudpoleks öeldud
imperative,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,—,—,1st sing.,—,—
2nd sing.,ütle,ära ütle,2nd sing.,—,—
3rd sing.,öelgu,ärgu öelgu,3rd sing.,olgu öelnud,ärgu olgu öelnud
1st plur.,öelgem,ärgem öelgem,1st plur.,—,—
2nd plur.,öelge,ärge öelge,2nd plur.,—,—
3rd plur.,öelgu,ärgu öelgu,3rd plur.,olgu öelnud,ärgu olgu öelnud
passive,öeldagu,ärgu öeldagu,passive,olgu öeldud,ärgu olgu öeldud
quotative,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
active,ütlevat,ei ütlevat,active,olevat öelnud,ei olevat öelnudpolevat öelnud
passive,öeldavat,ei öeldavat,passive,olevat öeldud,ei olevat öeldudpolevat öeldud
Nominal forms,,,,,
ma-infinitive,da-infinitive,,,,
,active,passive,da-form,öelda,
nominative,ütlema,öeldama,des-form,öeldes,
inessive,ütlemas,—,participle,,
elative,ütlemast,—,,active,passive
translative,ütlemaks,—,present,ütlev,öeldav
abessive,ütlemata,—,past,öelnud,öeldud
