0,1,2,3,4
PIE root,,,,
*gʰel-,,,,
m-s1,singular,plural,,
,indefinite,definite,indefinite,definite
nominative,galdur,galdurinn,galdrar,galdrarnir
accusative,galdur,galdurinn,galdra,galdrana
dative,galdri,galdrinum,göldrum,göldrunum
genitive,galdurs,galdursins,galdra,galdranna
"galdrabók  galdrafluga ('witch-fly,' a kind of a crane fly; tipula nigra subhirta)  galdrafullur (full of sorcery or magic)  galdrahríð (a magic storm, a hurricane raised by spells)",,"galdrakind (a foul witch)  galdrakinn (nickname; spell cheek)  galdrakona (a witch, a sorceress)  galdramaður",,
