0,1,2,3,4,5
infinitive (nafnháttur),að vilja,,,,
supine (sagnbót),viljað,,,,
present participle (lýsingarháttur nútíðar),viljandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég vil,við viljum,present (nútíð),ég vilji,við viljum
þú vilt,þið viljið,þú viljir,þið viljið,,
hann vill,þeir vilja,hann vilji,þeir vilji,,
,,,,,
past (þátíð),ég vildi,við vildum,past (þátíð),ég vildi,við vildum
þú vildir,þið vilduð,þú vildir,þið vilduð,,
hann vildi,þeir vildu,hann vildi,þeir vildu,,
