0,1,2,3,4,5
infinitive (nafnháttur),að glíma,,,,
supine (sagnbót),glímt,,,,
present participle (lýsingarháttur nútíðar),glímandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég glími,við glímum,present (nútíð),ég glími,við glímum
þú glímir,þið glímið,þú glímir,þið glímið,,
"hann, hún, það glímir","þeir, þær, þau glíma","hann, hún, það glími","þeir, þær, þau glími",,
,,,,,
past (þátíð),ég glímdi,við glímdum,past (þátíð),ég glímdi,við glímdum
þú glímdir,þið glímduð,þú glímdir,þið glímduð,,
"hann, hún, það glímdi","þeir, þær, þau glímdu","hann, hún, það glímdi","þeir, þær, þau glímdu",,
,,,,,
imperative (boðháttur),glím (þú),glímið (þið),,,
Forms with appended personal pronoun,,,,,
glímdu,glímiði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
f-w1,singular,plural,,,
,indefinite,definite,indefinite,definite,
nominative,glíma,glíman,glímur,glímurnar,
accusative,glímu,glímuna,glímur,glímurnar,
dative,glímu,glímunni,glímum,glímunum,
genitive,glímu,glímunnar,glíma/glímna,glímanna/glímnanna,
