0,1,2,3,4,5
infinitive (nafnháttur),að kafa,,,,
supine (sagnbót),kafað,,,,
present participle (lýsingarháttur nútíðar),kafandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég kafa,við köfum,present (nútíð),ég kafi,við köfum
þú kafar,þið kafið,þú kafir,þið kafið,,
"hann, hún, það kafar","þeir, þær, þau kafa","hann, hún, það kafi","þeir, þær, þau kafi",,
,,,,,
past (þátíð),ég kafaði,við köfuðum,past (þátíð),ég kafaði,við köfuðum
þú kafaðir,þið köfuðuð,þú kafaðir,þið köfuðuð,,
"hann, hún, það kafaði","þeir, þær, þau köfuðu","hann, hún, það kafaði","þeir, þær, þau köfuðu",,
,,,,,
imperative (boðháttur),kafa (þú),kafið (þið),,,
Forms with appended personal pronoun,,,,,
kafaðu,kafiði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
fara í kaf  kaf  kafaldi  kafarabúningur,,kafaraveiki  kafari  kafbátur  kafblása,,kafblað  kaffæra  kafhlaup  kafhríð,
