0,1,2,3,4,5
infinitive (nafnháttur),að enda,,,,
supine (sagnbót),endað,,,,
present participle (lýsingarháttur nútíðar),endandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég enda,við endum,present (nútíð),ég endi,við endum
þú endar,þið endið,þú endir,þið endið,,
"hann, hún, það endar","þeir, þær, þau enda","hann, hún, það endi","þeir, þær, þau endi",,
,,,,,
past (þátíð),ég endaði,við enduðum,past (þátíð),ég endaði,við enduðum
þú endaðir,þið enduðuð,þú endaðir,þið enduðuð,,
"hann, hún, það endaði","þeir, þær, þau enduðu","hann, hún, það endaði","þeir, þær, þau enduðu",,
,,,,,
imperative (boðháttur),enda (þú),endið (þið),,,
Forms with appended personal pronoun,,,,,
endaðu,endiði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
