0,1,2,3,4,5,6
m-s1,singular,plural,,,,
,indefinite,definite,indefinite,definite,,
nominative,grautur,grauturinn,grautar,grautarnir,,
accusative,graut,grautinn,grauta,grautana,,
dative,grauti / graut,grautnum,grautum,grautunum,,
genitive,grautar,grautarins,grauta,grautanna,,
áfagrautur  aldingrautur  ávaxtagrautur  bankabyggsgrautur  baunagrautur  berjagrautur  blóðgrautur  bygggrautur  drullugrautur  eplagrautur  fara í kringum eins og köttur í kringum heitan graut  fjallagrasagrautur  flauelsgrautur  grasagrautur  grauta,,grautaraskur  grautarát (porridge eating)  grautarausa  grautarbakstur  grautardallur  Grautardalur  grautardiskur  grautarefni  grautarfat  grautarfata  Grautarflói  Grautarforfugil  grautargerð  grautargjörð  grautarhaus,,grautarheili  grautarhljóð  grautarhrísla  grautarkökkur  grautarlega  grautarlegur  grautarleikur  grautarlím  grautarpottur  grautarskál  Grautarsker  grautarskóf  grautarsleif  grautarsleikja  grautarslembra,,"grautarsletta  grautarslóð  grautarspónn  grautarstella  grautarsuða  grautartrog  grautartrygill  grautarvers  grautarviðja  grautarvömb  grautarþvara (a ladle to stir the porridge in cooking)  grjónagrautur  hrísgrjónagrautur  töðugjaldagrautur (a harvest porridge, a supper of porridge)"
