0,1,2,3,4
PIE root,,,,
*gʷeyh₃-,,,,
Audio (Classical),,(file),,
Case,Singular,Plural,,
nominative,vīta,vītae,,
genitive,vītae,vītārum,,
dative,vītae,vītīs,,
accusative,vītam,vītās,,
ablative,vītā,vītīs,,
vocative,vīta,vītae,,
vītālia  vītālis,,vītālitās  vītāliter,,Vitumnus
vītābilis  vītābundus  vītātiō,,vīvārium  vīvāx  vīvidus,,vīvō  vīvus
"edit  Corsican: vita  Dalmatian: vaita  Emilian: vétta  Esperanto: vivo  Franco-Provençal: via  Friulian: vite  Istriot: veîta  Ladin: vita  Lombard: vita  Megleno-Romanian: vítă  Navarro-Aragonese: vida  Aragonese: vida, vita  Neapolitan: vita, bita  Old French: vie  Middle French: vie  French: vie  Antillean Creole: vi  Guianese Creole: lavi  Haitian Creole: lavi  Louisiana Creole French: vi  Seychellois Creole: lavi  Norman: vie (Guernésiais)  Walloon: veye, vèie  Italian: vita  Old Leonese: vida  Asturian: vida, vía  Leonese: vida  Mirandese: bida  Old Portuguese: vida  Fala: vía  Galician: vida  Portuguese: vida  Angolar: vira  Guinea-Bissau Creole: vida, bida  Kabuverdianu: bida  Korlai Creole Portuguese: vid  Macanese: vida  Principense: vida  Tetum: vida  Old Provençal:  Occitan: vida  Old Catalan: vida  Catalan: vida  Old Spanish: vida  Extremaduran: vía  Ladino: vida  Spanish: vida  Palenquero: bila  Papiamentu: bida  Piedmontese: vita  Romagnol: vita  Romanian: vită  Romansch: vita  Sabir: vita  Sardinian: vida, bida, vira, vita  Sicilian: vita  Venetian: vita","Corsican: vita  Dalmatian: vaita  Emilian: vétta  Esperanto: vivo  Franco-Provençal: via  Friulian: vite  Istriot: veîta  Ladin: vita  Lombard: vita  Megleno-Romanian: vítă  Navarro-Aragonese: vida  Aragonese: vida, vita  Neapolitan: vita, bita  Old French: vie  Middle French: vie  French: vie  Antillean Creole: vi  Guianese Creole: lavi  Haitian Creole: lavi  Louisiana Creole French: vi  Seychellois Creole: lavi  Norman: vie (Guernésiais)  Walloon: veye, vèie  Italian: vita  Old Leonese: vida  Asturian: vida, vía  Leonese: vida  Mirandese: bida",,"Old Portuguese: vida  Fala: vía  Galician: vida  Portuguese: vida  Angolar: vira  Guinea-Bissau Creole: vida, bida  Kabuverdianu: bida  Korlai Creole Portuguese: vid  Macanese: vida  Principense: vida  Tetum: vida  Old Provençal:  Occitan: vida  Old Catalan: vida  Catalan: vida  Old Spanish: vida  Extremaduran: vía  Ladino: vida  Spanish: vida  Palenquero: bila  Papiamentu: bida  Piedmontese: vita  Romagnol: vita  Romanian: vită  Romansch: vita  Sabir: vita  Sardinian: vida, bida, vira, vita  Sicilian: vita  Venetian: vita",
"Corsican: vita  Dalmatian: vaita  Emilian: vétta  Esperanto: vivo  Franco-Provençal: via  Friulian: vite  Istriot: veîta  Ladin: vita  Lombard: vita  Megleno-Romanian: vítă  Navarro-Aragonese: vida  Aragonese: vida, vita  Neapolitan: vita, bita  Old French: vie  Middle French: vie  French: vie  Antillean Creole: vi  Guianese Creole: lavi  Haitian Creole: lavi  Louisiana Creole French: vi  Seychellois Creole: lavi  Norman: vie (Guernésiais)  Walloon: veye, vèie  Italian: vita  Old Leonese: vida  Asturian: vida, vía  Leonese: vida  Mirandese: bida",,"Old Portuguese: vida  Fala: vía  Galician: vida  Portuguese: vida  Angolar: vira  Guinea-Bissau Creole: vida, bida  Kabuverdianu: bida  Korlai Creole Portuguese: vid  Macanese: vida  Principense: vida  Tetum: vida  Old Provençal:  Occitan: vida  Old Catalan: vida  Catalan: vida  Old Spanish: vida  Extremaduran: vía  Ladino: vida  Spanish: vida  Palenquero: bila  Papiamentu: bida  Piedmontese: vita  Romagnol: vita  Romanian: vită  Romansch: vita  Sabir: vita  Sardinian: vida, bida, vira, vita  Sicilian: vita  Venetian: vita",,
"Corsican: vita  Dalmatian: vaita  Emilian: vétta  Esperanto: vivo  Franco-Provençal: via  Friulian: vite  Istriot: veîta  Ladin: vita  Lombard: vita  Megleno-Romanian: vítă  Navarro-Aragonese: vida  Aragonese: vida, vita  Neapolitan: vita, bita  Old French: vie  Middle French: vie  French: vie  Antillean Creole: vi  Guianese Creole: lavi  Haitian Creole: lavi  Louisiana Creole French: vi  Seychellois Creole: lavi  Norman: vie (Guernésiais)  Walloon: veye, vèie  Italian: vita  Old Leonese: vida  Asturian: vida, vía  Leonese: vida  Mirandese: bida",,"Old Portuguese: vida  Fala: vía  Galician: vida  Portuguese: vida  Angolar: vira  Guinea-Bissau Creole: vida, bida  Kabuverdianu: bida  Korlai Creole Portuguese: vid  Macanese: vida  Principense: vida  Tetum: vida  Old Provençal:  Occitan: vida  Old Catalan: vida  Catalan: vida  Old Spanish: vida  Extremaduran: vía  Ladino: vida  Spanish: vida  Palenquero: bila  Papiamentu: bida  Piedmontese: vita  Romagnol: vita  Romanian: vită  Romansch: vita  Sabir: vita  Sardinian: vida, bida, vira, vita  Sicilian: vita  Venetian: vita",,
