0,1,2,3
PIE root,,,
*dʰeh₁(y)-,,,
Audio (Classical),,(file),
Case,Singular,Plural,
nominative,fīlius,fīliī,
genitive,fīliīfīlī1,fīliōrum,
dative,fīliō,fīliīs,
accusative,fīlium,fīliōs,
ablative,fīliō,fīliīs,
vocative,fīlī,fīliī,
"edit  Corsican: figliu  Dalmatian: felj  Emilian: fiôl  Esperanto: filo  Ido: filio  Interlingua: filio  Istriot: feîo, fèio  Italian: figlio  Mozarabic: filyo  Navarro-Aragonese:  Aragonese: fillo  Novial: filio  Old French: fil, fis, fix, fiz  English: Fitz-  French: fils  Norman: fils  Old Leonese:  Asturian: fíu  Leonese: fiyu  Mirandese: filho  Old Portuguese: fillo  Fala: fillu  Galician: fillo  Portuguese: filho  Indo-Portuguese: filh  Kabuverdianu: fidju  Old Provençal: filh  Catalan: fill  Occitan: filh  Old Spanish: fijo  Extremaduran: iju  Ladino: ijo / איז׳ו  Spanish: hijo  Papiamentu: yiu  Tagalog: iho  Proto-Romanian:  Aromanian: hilj, hiljiu  Istro-Romanian: fiľ  Megleno-Romanian: il'u  Romanian: fiu  Rhaeto-Romance:  Friulian: fi  Romansch: figl, fegl  Sardinian:  Campidanese: fillu  Logudorese: fizu, figiu  Sicilian: figghiu  Venetian: fio, fiol","Corsican: figliu  Dalmatian: felj  Emilian: fiôl  Esperanto: filo  Ido: filio  Interlingua: filio  Istriot: feîo, fèio  Italian: figlio  Mozarabic: filyo  Navarro-Aragonese:  Aragonese: fillo  Novial: filio  Old French: fil, fis, fix, fiz  English: Fitz-  French: fils  Norman: fils  Old Leonese:  Asturian: fíu  Leonese: fiyu  Mirandese: filho  Old Portuguese: fillo  Fala: fillu  Galician: fillo  Portuguese: filho  Indo-Portuguese: filh  Kabuverdianu: fidju",,"Old Provençal: filh  Catalan: fill  Occitan: filh  Old Spanish: fijo  Extremaduran: iju  Ladino: ijo / איז׳ו  Spanish: hijo  Papiamentu: yiu  Tagalog: iho  Proto-Romanian:  Aromanian: hilj, hiljiu  Istro-Romanian: fiľ  Megleno-Romanian: il'u  Romanian: fiu  Rhaeto-Romance:  Friulian: fi  Romansch: figl, fegl  Sardinian:  Campidanese: fillu  Logudorese: fizu, figiu  Sicilian: figghiu  Venetian: fio, fiol"
"Corsican: figliu  Dalmatian: felj  Emilian: fiôl  Esperanto: filo  Ido: filio  Interlingua: filio  Istriot: feîo, fèio  Italian: figlio  Mozarabic: filyo  Navarro-Aragonese:  Aragonese: fillo  Novial: filio  Old French: fil, fis, fix, fiz  English: Fitz-  French: fils  Norman: fils  Old Leonese:  Asturian: fíu  Leonese: fiyu  Mirandese: filho  Old Portuguese: fillo  Fala: fillu  Galician: fillo  Portuguese: filho  Indo-Portuguese: filh  Kabuverdianu: fidju",,"Old Provençal: filh  Catalan: fill  Occitan: filh  Old Spanish: fijo  Extremaduran: iju  Ladino: ijo / איז׳ו  Spanish: hijo  Papiamentu: yiu  Tagalog: iho  Proto-Romanian:  Aromanian: hilj, hiljiu  Istro-Romanian: fiľ  Megleno-Romanian: il'u  Romanian: fiu  Rhaeto-Romance:  Friulian: fi  Romansch: figl, fegl  Sardinian:  Campidanese: fillu  Logudorese: fizu, figiu  Sicilian: figghiu  Venetian: fio, fiol",
"Corsican: figliu  Dalmatian: felj  Emilian: fiôl  Esperanto: filo  Ido: filio  Interlingua: filio  Istriot: feîo, fèio  Italian: figlio  Mozarabic: filyo  Navarro-Aragonese:  Aragonese: fillo  Novial: filio  Old French: fil, fis, fix, fiz  English: Fitz-  French: fils  Norman: fils  Old Leonese:  Asturian: fíu  Leonese: fiyu  Mirandese: filho  Old Portuguese: fillo  Fala: fillu  Galician: fillo  Portuguese: filho  Indo-Portuguese: filh  Kabuverdianu: fidju",,"Old Provençal: filh  Catalan: fill  Occitan: filh  Old Spanish: fijo  Extremaduran: iju  Ladino: ijo / איז׳ו  Spanish: hijo  Papiamentu: yiu  Tagalog: iho  Proto-Romanian:  Aromanian: hilj, hiljiu  Istro-Romanian: fiľ  Megleno-Romanian: il'u  Romanian: fiu  Rhaeto-Romance:  Friulian: fi  Romansch: figl, fegl  Sardinian:  Campidanese: fillu  Logudorese: fizu, figiu  Sicilian: figghiu  Venetian: fio, fiol",
