0,1,2,3,4,5
PIE root,,,,,
*bʰreg-,,,,,
Number,Singular,,Plural,,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter,
nominative,fragilis,fragile,,fragilēs,fragilia
genitive,fragilis,fragilium,,,
dative,fragilī,fragilibus,,,
accusative,fragilem,fragile,fragilēs,fragilia,
ablative,fragilī,fragilibus,,,
vocative,fragilis,fragile,fragilēs,fragilia,
fractiō  fractor  fractūra  fragēscō,,fragmen  fragmentum  fragor  frangō,,,
"Catalan: fràgil  English: fragile, frail  French: fragile, frêle  Italian: fragile",,"Old French: fraile, frele  Portuguese: frágil  Romanian: fraged  Spanish: frágil",,,
