0,1,2,3,4,5,6
,,,,,,
Strong declension,,,,,,
,masculine,neuter,feminine,,,
,singular,plural,singular,plural,singular,plural
nominative,mikil,mikile,mikil,mikile,mikil,mikilu
accusative,mikilan,mikile,mikil,mikile,mikila,mikilu
genitive,mikilis,mikilro,mikilis,mikilro,mikilro,mikilrō
dative,mikilon,mikilon,mikilon,mikilon,mikilro,mikilon
,,,,,,
Weak declension,,,,,,
,masculine,neuter,feminine,,,
,singular,plural,singular,plural,singular,plural
nominative,mikilo,mikilu,mikila,mikilu,mikila,mikilu
accusative,mikilin,mikilin,mikila,mikilin,mikilin,mikilin
genitive,mikilin,mikilno,mikilin,mikilno,mikilin,mikilno
dative,mikilin,mikilon,mikilin,mikilon,mikilin,mikilon
