0,1,2,3,4,5,6,7
Infinitive: lȅći / lȅgnuti,Present verbal adverb: —,Past verbal adverb: lȅgāvši / lȅgnūvši,Verbal noun: —,,,,
Number,Singular,Plural,,,,,
Person,1st,2nd,3rd,1st,2nd,3rd,
Verbal forms,ja,ti,on / ona / ono,mi,vi,oni / one / ona,
Present,ležem / legnem,ležeš / legneš,leže / legne,ležemo / legnemo,ležete / legnete,legu / legnu,
Future,Future I,leći / legnut ću2leći / legnuću,leći / legnut ćeš2leći / legnućeš,leći / legnut će2leći / legnuće,leći / legnut ćemo2leći / legnućemo,leći / legnut ćete2leći / legnućete,leći / legnut će2leći / legnuće
Future II,budem legao1,budeš legao1,bude legao1,budemo legli1,budete legli1,budu legli1,
Past,Perfect,legao sam1,legao si1,legao je1,legli smo1,legli ste1,legli su1
Pluperfect,bio sam legao1,bio si legao1,bio je legao1,bili smo legli1,bili ste legli1,bili su legli1,
Aorist,legoh / legnuh,leže / legnu,leže / legnu,legosmo / legnusmo,legoste / legnuste,legoše / legnoše,
Conditional I,legao bih1,legao bi1,legao bi1,legli bismo1,legli biste1,legli bi1,
Conditional II,bio bih legao1,bio bi legao1,bio bi legao1,bili bismo legli1,bili biste legli1,bili bi legli1,
Imperative,—,lezi / legni,—,lezimo / legnimo,lezite / legnite,—,
Active past participle,legao m / legla f / leglo n,legli m / legle f / legla n,,,,,
Passive past participle,legnut m / legnuta f / legnuto n,legnuti m / legnute f / legnuta n,,,,,
"1   For the masculine; agent of feminine or neuter gender would use the feminine and neuter gender forms of the active past participle and the auxiliary verb, respectively.",,,,,,,
nàleći  pòleći  prìleći,,slȅći  ùleći se  zàleći,,,,,
Infinitive: leći,Present verbal adverb: légūći,Past verbal adverb: —,Verbal noun: léžēnje,,,,
Number,Singular,Plural,,,,,
Person,1st,2nd,3rd,1st,2nd,3rd,
Verbal forms,ja,ti,on / ona / ono,mi,vi,oni / one / ona,
Present,ležem,ležeš,leže,ležemo,ležete,legu,
Future,Future I,leći ću,leći ćeš,leći će,leći ćemo,leći ćete,leći će
Future II,budem legao1,budeš legao1,bude legao1,budemo legli1,budete legli1,budu legli1,
Past,Perfect,legao sam1,legao si1,legao je1,legli smo1,legli ste1,legli su1
Pluperfect,bio sam legao1,bio si legao1,bio je legao1,bili smo legli1,bili ste legli1,bili su legli1,
Imperfect,lezijah / ležah,lezijaše / ležaše,lezijaše / ležaše,lezijasmo / ležasmo,lezijaste / ležaste,lezijahu / ležahu,
Conditional I,legao bih1,legao bi1,legao bi1,legli bismo1,legli biste1,legli bi1,
Conditional II,bio bih legao1,bio bi legao1,bio bi legao1,bili bismo legli1,bili biste legli1,bili bi legli1,
Imperative,—,lezi,—,lezimo,lezite,—,
Active past participle,legao m / legla f / leglo n,legli m / legle f / legla n,,,,,
Passive past participle,ležen m / ležena f / leženo n,leženi m / ležene f / ležena n,,,,,
"1   For the masculine; agent of feminine or neuter gender would use the feminine and neuter gender forms of the active past participle and the auxiliary verb, respectively.2   Standard Croatian spelling: others omit the infinitive suffix completely and bind the clitic.",,,,,,,
