0,1
preposition,vörbi
postpositional adv.,vörbi
+ her (hither),—
+ düt (this),hiervörbi
+ dat (that),dorvörbi
+ wat (what),wovörbi
+ wat (something),enerwegens vörbi
+ nix (nothing),nargens vörbi
+ allens (everything),överall vörbi
