0,1,2,3,4
,,,,
infinitive,achterankamen,,,
,main clause,subordinate clause,,
indicative,present,preterite,present,preterite
1st person singular,kaam achteran,keem achteran,achterankaam,achterankeem
2nd person singular,kümmst achteran,keemst achteran,achterankümmst,achterankeemst
3rd person singular,kümmt achteran,keem achteran,achterankümmt,achterankeem
plural,kaamt achteran,kemen achteran,achterankaamt,achterankemen
imperative,present,—,—,—
singular,kaam achteran,,,
plural,kaamt achteran,,,
participle,present,past,—,—
,achterankamen,achterankamen,,
