0,1,2,3,4,5
,,,,,
gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,he is düüster,se is düüster,dat is düüster,se sünd düüster,
partitive,een düüsters,een düüsters,wat düüsters,allens düüster,
strong declension (without article),nominative,düüstere,düüstere,düüster,düüstere
oblique,düüsteren,düüstere,düüster,düüstere,
weak declension (with definite article),nominative,de düüstere,de düüstere,dat düüstere,de düüsteren
oblique,den düüsteren,de düüstere,dat düüstere,de düüsteren,
mixed declension (with indefinite article),nominative,en düüstere,en düüstere,en düüster/düüsteret,(keen) düüsteren
oblique,en düüsteren,en düüstere,en düüster/düüsteret,(keen) düüsteren,
,,,,,
gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,he is düüsterer,se is düüsterer,dat is düüsterer,se sünd düüsterer,
partitive,een düüsterers,een düüsterers,wat düüsterers,allens düüsterer,
strong declension (without article),nominative,düüsterere,düüsterere,düüsterer,düüsterere
oblique,düüsterern,düüsterere,düüsterer,düüsterere,
weak declension (with definite article),nominative,de düüsterere,de düüsterere,dat düüsterere,de düüsterern
oblique,den düüsterern,de düüsterere,dat düüsterere,de düüsterern,
mixed declension (with indefinite article),nominative,en düüsterere,en düüsterere,en düüsterer,(keen) düüsterern
oblique,en düüsterern,en düüsterere,en düüsterer,(keen) düüsterern,
,,,,,
gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,he is de Düüsterste,se is de Düüsterste,dat is dat Düüsterste,se sünd de Düüstersten,
strong declension (without article),nominative,düüsterste,düüsterste,düüsterst,düüsterste
oblique,düüstersten,düüsterste,düüsterst,düüsterste,
weak declension (with definite article),nominative,de düüsterste,de düüsterste,dat düüsterste,de düüstersten
oblique,den düüstersten,de düüsterste,dat düüsterste,de düüstersten,
mixed declension (with indefinite article),nominative,en düüsterste,en düüsterste,en düüsterst,(keen) düüstersten
oblique,en düüstersten,en düüsterste,en düüsterst,(keen) düüstersten,
