0,1,2,3,4,5,6,7,8
audio,,(file),,,,,,
,Indicative,Imperative,,,,,,
person,Present,Past,Future,,,,,
,Masculine,Feminine,Neuter,,,,,
animate,inanimate,,,,,,,
I,V;IND;PRS;1;SG,V;IND;PST;1;SG;MASC,V;IND;PST;1;SG;FEM,V;IND;PST;1;SG;NEUT,V;IND;FUT;1;SG,—,,
you (singular),V;IND;PST;2;SG,V;IND;PST;2;SG;MASC,V;IND;PST;2;SG;FEM,V;IND;PST;2;SG;NEUT,V;IND;FUT;2;SG,V;IMP;2;SG,,
you (polite),V;IND;PRS;2;SG;FORM,V;IND;PST;2;SG;FORM;MASC,V;IND;PST;2;SG;FORM;FEM,V;IND;PST;2;SG;FORM;NEUT,V;IND;FUT;2;SG;FORM,V;IMP;2;SG;FORM,,
he/she/it,V;IND;PRS;3;SG,V;IND;PST;3;SG;MASC,V;IND;PST;3;SG;FEM,V;IND;PST;3;SG;NEUT,V;IND;FUT;3;SG,—,,
we,V;IND;PRS;1;PL,V;IND;PST;1;PL;MASC,V;IND;PST;1;PL;FEM,V;IND;PST;1;PL;NEUT,V;IND;FUT;1;PL,V;IMP;1;PL,,
you (plural),V;IND;PRS;2;PL,V;IND;PST;2;PL;MASC,V;IND;PST;2;PL;FEM,V;IND;PST;2;PL;NEUT,V;IND;FUT;2;PL,V;IMP;2;PL,,
they,V;IND;PRS;3;PL,V;IND;PST;3;PL;MASC;ANIM,V;IND;PST;3;PL;MASC;INAN,V;IND;PST;3;PL;FEM,V;IND;PST;3;PL;NEUT,V;IND;FUT;3;PL,—,
,Conditional,,,,,,,
person,Present,Past,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
I,V;COND;PRS;1;SG;MASC,V;COND;PRS;1;SG;FEM,V;COND;PRS;1;SG;NEUT,V;COND;PST;1;SG;MASC,V;COND;PST;1;SG;FEM,V;COND;PST;1;SG;NEUT,,
you (singular),V;COND;PRS;2;SG;MASC,V;COND;PRS;2;SG;FEM,V;COND;PRS;2;SG;NEUT,V;COND;PST;2;SG;MASC,V;COND;PST;2;SG;FEM,V;COND;PST;2;SG;NEUT,,
you (polite),V;COND;PRS;2;SG;FORM;MASC,V;COND;PRS;2;SG;FORM;FEM,V;COND;PRS;2;SG;FORM;NEUT,V;COND;PST;2;SG;FORM;MASC,V;COND;PST;2;SG;FORM;FEM,V;COND;PST;2;SG;FORM;NEUT,,
he/she/it,V;COND;PRS;3;SG;MASC,V;COND;PRS;3;SG;FEM,V;COND;PRS;3;SG;NEUT,V;COND;PST;3;SG;MASC,V;COND;PST;3;SG;FEM,V;COND;PST;3;SG;NEUT,,
we,V;COND;PRS;1;PL;MASC,V;COND;PRS;1;PL;FEM,V;COND;PRS;1;PL;NEUT,V;COND;PST;1;PL;MASC,V;COND;PST;1;PL;FEM,V;COND;PST;1;PL;NEUT,,
you (plural),V;COND;PRS;2;PL;MASC,V;COND;PRS;2;PL;FEM,V;COND;PRS;2;PL;NEUT,V;COND;PST;2;PL;MASC,V;COND;PST;2;PL;FEM,V;COND;PST;2;PL;NEUT,,
they,V;COND;PRS;1;PL;MASC;ANIM,V;COND;PRS;1;PL;MASC;INAN,V;COND;PRS;3;PL;FEM,V;COND;PRS;3;PL;NEUT,V;COND;PST;3;PL;MASC;ANIM,V;COND;PST;3;PL;MASC;INAN,V;COND;PST;3;PL;FEM,V;COND;PST;3;PL;NEUT
,Participle,,,,,,,
Number,Active (Perfect),Passive,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
singular,V.PTCP;ACT;PRF;MASC;SG,V.PTCP;ACT;PRF;FEM;SG,V.PTCP;ACT;PRF;NEUT;SG,V.PTCP;PASS;MASC;SG,V.PTCP;PASS;FEM;SG,V.PTCP;PASS;NEUT;SG,,
plural,V.PTCP;ACT;PRF;ANIM;MASC;PL,V.PTCP;ACT;PRF;INAN;MASC;PL,V.PTCP;ACT;PRF;FEM;PL,V.PTCP;ACT;PRF;NEUT;PL,V.PTCP;PASS;ANIM;MASC;PL,V.PTCP;PASS;INAN;MASC;PL,V.PTCP;PASS;FEM;PL,V.PTCP;PASS;NEUT;PL
,transgressive present,transgressive past,,,,,,
Number,Masculine,Feminine,Masculine,Feminine,,,,
singular,V.CVB;PRS;MASC;SG,V.CVB;PRS;FEM;SG,V.CVB;PST;MASC;SG,V.CVB;PST;FEM;SG,,,,
plural,V.CVB;PRS;PL,V.CVB;PST;PL,,,,,,
,Infinitive,Verbal adjective,Gerund,,,,,
,V;NFIN,V.PTCP,V.CVB,,,,,
udělat  vydělat  prodělat  rozdělat  zadělat  dodělat  padělat  nadělat,,dělník m  výdělek m,,dělný m,,,,
