0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
#1,"#2, #3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declension of ucho  singular  plural  nominative  ucho  uši  genitive  ucha  uší  dative  uchu  ušiam  accusative  ucho  uši  locative  uchu  ušiach  instrumental  uchom  ušami,,singular,plural,nominative,ucho,uši,genitive,ucha,uší,dative,uchu,ušiam,accusative,ucho,uši,locative,uchu,ušiach,instrumental,uchom,ušami,Declension of ucho  singular  plural  nominative  ucho  uchá  genitive  ucha  úch  dative  uchu  uchám  accusative  ucho  uchá  locative  uchu  uchách  instrumental  uchom  uchami,,singular,plural,nominative,ucho,uchá,genitive,ucha,úch,dative,uchu,uchám,accusative,ucho,uchá,locative,uchu,uchách,instrumental,uchom,uchami
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,ucho,uši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,ucha,uší,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,uchu,ušiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,ucho,uši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,uchu,ušiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,uchom,ušami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,ucho,uchá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,ucha,úch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,uchu,uchám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,ucho,uchá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,uchu,uchách,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,uchom,uchami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,ucho,uši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,ucha,uší,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,uchu,ušiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,ucho,uši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,uchu,ušiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,uchom,ušami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,ucho,uchá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,ucha,úch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,uchu,uchám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,ucho,uchá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,uchu,uchách,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,uchom,uchami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
