0,1,2
present tense,singular,plural
1st person,darujem,darujeme
2nd person,daruješ,darujete
3rd person,daruje,darujú
,,
past tense,singular,plural
masculine,,
1st person,daroval som,darovali sme
2nd person,daroval si,darovali ste
3rd person,daroval,darovali
feminine,,
1st person,darovala som,darovali sme
2nd person,darovala si,darovali ste
3rd person,darovala,darovali
neuter,,
1st person,darovalo som,darovali sme
2nd person,darovalo si,darovali ste
3rd person,darovalo,darovali
,,
past perfect,singular,plural
masculine,,
1st person,darovával som,darovávali sme
2nd person,darovával si,darovávali ste
3rd person,darovával,darovávali
feminine,,
1st person,darovávala som,darovávali sme
2nd person,darovávala si,darovávali ste
3rd person,darovávala,darovávali
neuter,,
1st person,darovávalo som,darovávali sme
2nd person,darovávalo si,darovávali ste
3rd person,darovávalo,darovávali
,,
past pluperfect,singular,plural
masculine,,
1st person,bol som darovával,boli sme darovávali
2nd person,bol si darovával,boli ste darovávali
3rd person,bol darovával,boli darovávali
feminine,,
1st person,bola som darovávala,boli sme darovávali
2nd person,bola si darovávala,boli ste darovávali
3rd person,bola darovávala,boli darovávali
neuter,,
1st person,bolo som darovávalo,boli sme darovávali
2nd person,bolo si darovávalo,boli ste darovávali
3rd person,bolo darovávalo,boli darovávali
,,
future,singular,plural
1st person,budem darovať,budeme darovať
2nd person,budeš darovať,budete darovať
3rd person,bude darovať,budú darovať
imperative,singular,plural
1st person,—,darujme
2nd person,daruj,darujte
3rd person,—,—
