0,1,2
,singular,plural
nominative,škooulneʹǩǩ,škooulneeʹǩǩ
accusative,škooulneeʹǩǩ,škooulneeʹǩǩid
genitive,škooulneeʹǩǩ,škooulneeʹǩǩi
illative,škooulnekka,škooulneeʹǩǩid
locative,škooulneeʹǩǩest,škooulneeʹǩǩin
comitative,škooulneeʹǩǩin,škooulneeʹǩǩivuiʹm
abessive,škooulneeʹǩǩtää,škooulneeʹǩǩitää
essive,škooulneʹǩǩen,-
partitive,škooulneʹǩǩed,-
