0,1
,singular
nominative (назоўны),ўсходŭsxod
genitive (родны),ўсхо́дуŭsxódu
dative (давальны),ўсхо́дуŭsxódu
accusative (вінавальны),ўсходŭsxod
instrumental (творны),ўсхо́дамŭsxódam
locative (месны),ўсхо́дзеŭsxódzje
