0,1,2,3,4,5,6,7,8
,Indicative,Imperative,,,,,,
person,Present,Past,Future,,,,,
,Masculine,Feminine,Neuter,,,,,
animate,inanimate,,,,,,,
I,"servíruji, (informal) servíruju",servíroval jsem,servírovala jsem,servírovalo jsem,budu servírovat,—,,
you (singular),servíruješ,"servíroval jsi, (informal) servírovals","servírovala jsi, (informal) servírovalas","servírovalo jsi, (informal) servírovalos",budeš servírovat,servíruj,,
you (polite),servírujete,servíroval jste,servírovala jste,servírovalo jste,budete servírovat,servírujte,,
he/she/it,servíruje,servíroval,servírovala,servírovalo,bude servírovat,—,,
we,"servírujeme , (informal) servírujem",servírovali jsme,servírovaly jsme,servírovala jsme,budeme servírovat,servírujme,,
you (plural),servírujete,servírovali jste,servírovaly jste,servírovala jste,budete servírovat,servírujte,,
they,"servírují, (informal) servírujou",servírovali,servírovaly,servírovaly,servírovala,budou servírovat,—,
,Conditional,,,,,,,
person,Present,Past,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
I,servíroval bych,servírovala bych,servírovalo bych,byl bych servíroval,byla bych servírovala,bylo bych servírovalo,,
you (singular),servíroval bys,servírovala bys,servírovalo bys,byl bys servíroval,byla bys servírovala,bylo bys servírovalo,,
you (polite),servíroval byste,servírovala byste,servírovalo byste,byl byste servíroval,byla byste servírovala,bylo byste servírovalo,,
he/she/it,servíroval by,servírovala by,servírovalo by,byl by servíroval,byla by servírovala,bylo by servírovalo,,
we,servírovali bychom,servírovaly bychom,servírovala bychom,byli bychom servírovali,byly bychom servírovaly,byla bychom servírovala,,
you (plural),servírovali byste,servírovaly byste,servírovala byste,byli byste servírovali,byly byste servírovaly,byla byste servírovala,,
they,servírovali by,servírovaly by,servírovaly by,servírovala by,byli by servírovali,byly by servírovaly,byly by servírovaly,byla by servírovala
,Participle,,,,,,,
Number,Active (Perfect),Passive,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
singular,servíroval,servírovala,servírovalo,servírován,servírována,servírováno,,
plural,servírovali,servírovaly,servírovaly,servírovala,servírováni,servírovány,servírovány,servírována
,transgressive present,transgressive past,,,,,,
Number,Masculine,Feminine,Masculine,Feminine,,,,
singular,servírujíce,servírujíc,servírovav,servírovavši,,,,
plural,servírujíce,servírovavše,,,,,,
,Infinitive,Verbal adjective,Gerund,,,,,
,servírovat,servírující,servírování,,,,,
