0,1,2,3,4,5,6
past participle,cãntatã,,,,,
singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person
,mini/mine,tini/tine,"nãs, nãsã/nãsa, el, ea",noi,voi,"nãsh, nãse/nãsi, elj, eali"
present,cãntu,"cãntsã, cãnts",cãntã,cãntãm,"cãntatsi, cãntats",cãntã
imperfect,cãntam,cãntai,cãnta,cãntam,cãntatsi,cãnta
simple perfect,cãntai,cãntashi,cãntã,cãntãm,cãntat,cãntã
conditional,s-cãntarim,s-cãntari(și),s-cãntari,s-cãntarim,s-cãntarit,s-cãntari
cãntari/cãntare  cãntat  cãntãtor,,cãntic  discãntu  ncãntu,,,,
