0,1,2,3,4,5,6
Audio (Germany),,(file),,,,
Audio (Austria),,(file),,,,
infinitive,schreiben,,,,,
present participle,schreibend,,,,,
past participle,geschrieben,,,,,
auxiliary,haben,,,,,
,indicative,,subjunctive,,,
present,ich schreibe,wir schreiben,i,ich schreibe,wir schreiben,
du schreibst,ihr schreibt,du schreibest,ihr schreibet,,,
er schreibt,sie schreiben,er schreibe,sie schreiben,,,
,,,,,,
preterite,ich schrieb,wir schrieben,ii,ich schriebe,wir schrieben,
du schriebst,ihr schriebt,du schriebest,ihr schriebet,,,
er schrieb,sie schrieben,er schriebe,sie schrieben,,,
,,,,,,
imperative,schreib (du)schreibe (du),schreibt (ihr),,,,
perfect,,,,,,
indicative,ich habe geschrieben,wir haben geschrieben,subjunctive,ich habe geschrieben,wir haben geschrieben,
du hast geschrieben,ihr habt geschrieben,du habest geschrieben,ihr habet geschrieben,,,
er hat geschrieben,sie haben geschrieben,er habe geschrieben,sie haben geschrieben,,,
pluperfect,,,,,,
indicative,ich hatte geschrieben,wir hatten geschrieben,subjunctive,ich hätte geschrieben,wir hätten geschrieben,
du hattest geschrieben,ihr hattet geschrieben,du hättest geschrieben,ihr hättet geschrieben,,,
er hatte geschrieben,sie hatten geschrieben,er hätte geschrieben,sie hätten geschrieben,,,
future i,,,,,,
infinitive,schreiben werden,subjunctive i,ich werde schreiben,wir werden schreiben,,
du werdest schreiben,ihr werdet schreiben,,,,,
er werde schreiben,sie werden schreiben,,,,,
,,,,,,
indicative,ich werde schreiben,wir werden schreiben,subjunctive ii,ich würde schreiben,wir würden schreiben,
du wirst schreiben,ihr werdet schreiben,du würdest schreiben,ihr würdet schreiben,,,
er wird schreiben,sie werden schreiben,er würde schreiben,sie würden schreiben,,,
future ii,,,,,,
infinitive,geschrieben haben werden,subjunctive i,ich werde geschrieben haben,wir werden geschrieben haben,,
du werdest geschrieben haben,ihr werdet geschrieben haben,,,,,
er werde geschrieben haben,sie werden geschrieben haben,,,,,
,,,,,,
indicative,ich werde geschrieben haben,wir werden geschrieben haben,subjunctive ii,ich würde geschrieben haben,wir würden geschrieben haben,
du wirst geschrieben haben,ihr werdet geschrieben haben,du würdest geschrieben haben,ihr würdet geschrieben haben,,,
er wird geschrieben haben,sie werden geschrieben haben,er würde geschrieben haben,sie würden geschrieben haben,,,
abschreiben  anschreiben  aufschreiben,,beschreiben  überschreiben  umschreiben,,unterschreiben  verschreiben  vorausschreiben,,vorschreiben  zuschreiben
Schreiben  Schreiber  Schreiberei,,Schreibfeder  Schreibmaschine,,Schreibtisch  Schreibung,,Schreibweise  Schrift
