0,1,2,3,4,5
PIE root,,,,,
*ǵneh₃-,,,,,
number & gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,er ist kund,sie ist kund,es ist kund,sie sind kund,
strong declension (without article),nominative,—,—,—,—
genitive,—,—,—,—,
dative,—,—,—,—,
accusative,—,—,—,—,
weak declension (with definite article),nominative,—,—,—,—
genitive,—,—,—,—,
dative,—,—,—,—,
accusative,—,—,—,—,
mixed declension (with indefinite article),nominative,—,—,—,—
genitive,—,—,—,—,
dative,—,—,—,—,
accusative,—,—,—,—,
Kunde  künden,,kundgeben  kundig,,,
