0,1,2,3,4
PIE root,,,,
*gʰed-,,,,
Plain Infinitive,vorgēten,,,
Full Infinitive (Gerund),tô vorgētene or tô vorgētende,,,
Verbal Noun,vorgēten or vorgētent,,,
Participles,Imperatives,,,
Present,vorgētende,2nd Person Singular,vorgit,
Past,vorgēten,2nd Person Plural,vorgētet,
,Indicative,Subjunctive,,
Present,Preterite,Present,Preterite,
1st Person Singular,vorgēte,vorgat,vorgēte,vorgête
2nd Person Singular,vorgētest or vorgitst,vorgâtest or vorgêtest,vorgētest,vorgêtest
3rd Person Singular,vorgētet or vorgit,vorgat,vorgētet,vorgête
Plural,vorgēten (vorgētet¹),vorgâten or vorgêten,vorgēten,vorgêten
