0,1,2,3,4,5,6,7,8
audio (Germany),,(file),,,,,,
audio (Austria),,(file),,,,,,
,singular,,,,,,,
,indef.,def.,noun,,,,,
nominative,ein,das,Fleisch,,,,,
genitive,eines,des,"Fleisches,Fleischs",,,,,
dative,einem,dem,"Fleisch, Fleische1",,,,,
accusative,ein,das,Fleisch,,,,,
ablative,das,,,,,,,
vocative,das,,,,,,,
vom Fleisch fallen  Beinfleisch  Fleischbeschau  Fleischer  Fleischerzeugnis  Fleischeslust,,fleischfarben  Fleischfaser  fleischfrei  fleischfressend  Fleischgericht,,fleischig  fleischlich  Fleischreifung  Fleischsuppe  Fleischwolf,,Fleischwunde  Fruchtfleisch  Geflügelfleisch  Hackfleisch  Muskelfleisch,,Rindfleisch  Schweinefleisch  Vorderfleisch  weder Fisch noch Fleisch  Zahnfleisch
