0,1,2
PIE root,,
*ǵʰewd-,,
,,
infinitive,giozan,
indicative,present,past
1st person singular,giuzu,gouz
2nd person singular,giuzis,guzzi
3rd person singular,giuzit,gouz
1st person plural,"giozem, giozemes","guzzum, guzzumes"
2nd person plural,giozet,guzzut
3rd person plural,giozant,guzzun
subjunctive,present,past
1st person singular,gioze,guzzi
2nd person singular,giozes,guzzis
3rd person singular,gioze,guzzi
1st person plural,"giozem, giozemes","guzzim, guzzimes"
2nd person plural,giozet,guzzit
3rd person plural,giozen,guzzin
imperative,present,
singular,giuz,
plural,giozet,
participle,present,past
,giozanti,gigozzan
