0,1,2
Stem forms,,
Imperfective (未然形),ロードし,rōdo shi
Continuative (連用形),ロードし,rōdo shi
Terminal (終止形),ロードする,rōdo suru
Attributive (連体形),ロードする,rōdo suru
Hypothetical (仮定形),ロードすれ,rōdo sure
Imperative (命令形),ロードせよ¹ロードしろ²,rōdo seyo¹rōdo shiro²
Key constructions,,
Passive,ロードされる,rōdo sareru
Causative,ロードさせるロードさす,rōdo saserurōdo sasu
Potential,ロードできる,rōdo dekiru
Volitional,ロードしよう,rōdo shiyō
Negative,ロードしない,rōdo shinai
Negative continuative,ロードせず,rōdo sezu
Formal,ロードします,rōdo shimasu
Perfective,ロードした,rōdo shita
Conjunctive,ロードして,rōdo shite
Hypothetical conditional,ロードすれば,rōdo sureba
¹ Written imperative ² Spoken imperative,,
