0,1,2
Kanji in this term,,
改,訂,
かいGrade: 4,ていGrade: S,
on'yomi,,
Stem forms,,
Imperfective (未然形),改訂し,改訂 shi
Continuative (連用形),改訂し,改訂 shi
Terminal (終止形),改訂する,改訂 suru
Attributive (連体形),改訂する,改訂 suru
Hypothetical (仮定形),改訂すれ,改訂 sure
Imperative (命令形),改訂せよ¹改訂しろ²,改訂 seyo¹改訂 shiro²
Key constructions,,
Passive,改訂される,改訂 sareru
Causative,改訂させる改訂さす,改訂 saseru改訂 sasu
Potential,改訂できる,改訂 dekiru
Volitional,改訂しよう,改訂 shiyō
Negative,改訂しない,改訂 shinai
Negative continuative,改訂せず,改訂 sezu
Formal,改訂します,改訂 shimasu
Perfective,改訂した,改訂 shita
Conjunctive,改訂して,改訂 shite
Hypothetical conditional,改訂すれば,改訂 sureba
¹ Written imperative ² Spoken imperative,,
