0,1,2,3
Kanji in this term,,,
高,額,,
Grade: 2,Grade: 5,,
Stem forms,,,
Imperfective (未然形),高額だろ,こうがくだろ,kōgaku daro
Continuative (連用形),高額で,こうがくで,kōgaku de
Terminal (終止形),高額だ,こうがくだ,kōgaku da
Attributive (連体形),高額な,こうがくな,kōgaku na
Hypothetical (仮定形),高額なら,こうがくなら,kōgaku nara
Imperative (命令形),高額であれ,こうがくであれ,kōgaku de are
Key constructions,,,
Informal negative,高額ではない高額じゃない,こうがくではないこうがくじゃない,kōgaku de wa naikōgaku ja nai
Informal past,高額だった,こうがくだった,kōgaku datta
Informal negative past,高額ではなかった高額じゃなかった,こうがくではなかったこうがくじゃなかった,kōgaku de wa nakattakōgaku ja nakatta
Formal,高額です,こうがくです,kōgaku desu
Formal negative,高額ではありません高額じゃありません,こうがくではありませんこうがくじゃありません,kōgaku de wa arimasenkōgaku ja arimasen
Formal past,高額でした,こうがくでした,kōgaku deshita
Formal negative past,高額ではありませんでした高額じゃありませんでした,こうがくではありませんでしたこうがくじゃありませんでした,kōgaku de wa arimasen deshitakōgaku ja arimasen deshita
Conjunctive,高額で,こうがくで,kōgaku de
Conditional,高額なら（ば）,こうがくなら（ば）,kōgaku nara (ba)
Provisional,高額だったら,こうがくだったら,kōgaku dattara
Volitional,高額だろう,こうがくだろう,kōgaku darō
Adverbial,高額に,こうがくに,kōgaku ni
Degree,高額さ,こうがくさ,kōgakusa
