0,1,2,3
Picture dictionary,,,
წარბი შუბლი თმა წამწამი თვალი ცხვირი ნესტო ლოყა ყბა პირი ტუჩი ნიკაპი,,,
Click on labels in the image,Click on labels in the image,,
Click on labels in the image,,,
სხეული,სხეული,სხეული,
სხეული,სხეული,,
სხეული,,,
Click on labels in the image,,,
სხეული,სხეული,,
სხეული,,,
სხეული,,,
,singular,plural,archaic plural
nominative,სახე ‎(saxe),სახეები ‎(saxeebi),სახენი ‎(saxeni)
ergative,სახემ ‎(saxem),სახეებმა ‎(saxeebma),სახეთ(ა) ‎(saxet(a))
dative,სახეს(ა) ‎(saxes(a)),სახეებს(ა) ‎(saxeebs(a)),სახეთ(ა) ‎(saxet(a))
genitive,სახის(ა) ‎(saxis(a)),სახეების(ა) ‎(saxeebis(a)),სახეთ(ა) ‎(saxet(a))
instrumental,სახით(ა) ‎(saxit(a)),სახეებით(ა) ‎(saxeebit(a)),
adverbial,სახედ(ა) ‎(saxed(a)),სახეებად(ა) ‎(saxeebad(a)),
vocative,სახევ ‎(saxev),სახეებო ‎(saxeebo),სახენო ‎(saxeno)
Notes: archaic plurals might not exist.,,,
postpositions taking a dative case,singular,plural,
-ზე (on - ),სახეზე ‎(saxeze),სახეებზე ‎(saxeebze),
-თან (near - ),სახესთან ‎(saxestan),სახეებთან ‎(saxeebtan),
-ში (in - ),სახეში ‎(saxeši),სახეებში ‎(saxeebši),
-ვით (like a - ),სახესავით ‎(saxesavit),სახეებივით ‎(saxeebivit),
postpositions taking a genitive case,singular,plural,
-თვის (for - ),სახისთვის ‎(saxistvis),სახეებისთვის ‎(saxeebistvis),
-ებრ (like a - ),სახისებრ ‎(saxisebr),სახეებისებრ ‎(saxeebisebr),
-კენ (towards - ),სახისკენ ‎(saxisḳen),სახეებისკენ ‎(saxeebisḳen),
-გან (from/of - ),სახისგან ‎(saxisgan),სახეებისგან ‎(saxeebisgan),
postpositions taking an instrumental case,singular,plural,
-დან (from / since - ),სახიდან ‎(saxidan),სახეებიდან ‎(saxeebidan),
-ურთ (together with - ),სახითურთ ‎(saxiturt),სახეებითურთ ‎(saxeebiturt),
postpositions taking an adverbial case,singular,plural,
-მდე (up to - ),სახემდე ‎(saxemde),სახეებამდე ‎(saxeebamde),
სხვადასხვა სახისა ‎(sxvadasxva saxisa)  გახსნილი სახე ‎(gaxsnili saxe)  სახე აელეწება ‎(saxe aelec̣eba)  სიკვდილს სახეში უყურებს ‎(siḳvdils saxeši uq̇urebs),,ამ სახით ‎(am saxit)  იმ სახით ‎(im saxit)  სახის კანი ‎(saxis ḳani)  სახის გამომეტყველება ‎(saxis gamomeṭq̇veleba),
