0,1,2,3,4
Picture dictionary,,,,
წითელი ნარინჯისფერი ყვითელი მწვანე ცისფერი ლურჯი  იისფერი შავი ნაცრისფერი თეთრი,,,,
Click on labels in the image,Click on labels in the image,,,
Click on labels in the image,,,,
Click on labels in the image,,,,
,Singular,Plural,Archaic plural,
nominative,ფერი (p'eri),ფერები (p'erebi),ფერნი (p'erni),
ergative,ფერმა (p'erma),ფერებმა (p'erebma),ფერთა (p'ert'a),
dative,ფერს (p'ers),ფერებს (p'erebs),ფერთა (p'ert'a),
genitive,ფერის (p'eris),ფერების (p'erebis),ფერთა (p'ert'a),
instrumental,ფერით (p'erit'),ფერებით (p'erebit'),,
adverbial,ფერად (p'erad),ფერებად (p'erebad),,
vocative,ფერო (p'ero),ფერებო (p'erebo),ფერნო (p'erno),
Postpositions taking a genitive case,singular,plural,,
-თვის (for - ),ფერისთვის,ფერებისთვის,,
-ებრ (like a - ),ფერისებრ,ფერებისებრ,,
-კენ (towards - ),ფერისკენ,ფერებისკენ,,
-გან (from/of - ),ფერისგან,ფერებისგან,,
Postpositions taking an adverbial case,singular,plural,,
-მდე (up to - ),ფერამდე,ფერებამდე,,
Postpositions taking a dative case,singular,plural,,
-ზე (on - ),ფერზე,ფერებზე,,
-თან (near - ),ფერთან,ფერებთან,,
-ში (in - ),ფერში,ფერებში,,
-ვით (like a - ),ფერივით,ფერებივით,,
Postpositions taking an instrumental case,singular,plural,,
-დან (from / since - ),ფერიდან,ფერებიდან,,
-ურთ (together with - ),ფერითურთ,ფერებითურთ,,
Colors in Georgian · ფერები ‎(perebi) (layout · text),,,,
წითელი ‎(c̣iteli),მწვანე ‎(mc̣vane),ყვითელი ‎(q̇viteli),?,თეთრი ‎(tetri)
ჟოლოსფერი ‎(žolosperi),მეწამული ‎(mec̣amuli),?,მწვანე ‎(mc̣vane),ვარდისფერი ‎(vardisperi)
?,ლურჯი ‎(lurǯi),ნარინჯისფერი ‎(narinǯisperi),ნაცრისფერი ‎(nacrisperi),იისფერი ‎(iisperi)
შავი ‎(šavi),იასამნისფერი ‎(iasamnisperi),ყავისფერი ‎(q̇avisperi),"ლაჟვარდოვანი ‎(lažvardovani),ცისფერი ‎(cisperi)",?
