0,1
Case,adjective
"nominative, genitive, instrumental",ხსნადი ‎(xsnadi)
ergative,ხსნადმა ‎(xsnadma)
"dative, adverbial",ხსნად ‎(xsnad)
vocative,ხსნადო ‎(xsnado)
Case,adjective
"nominative, genitive and instrumental",ხსნადი ‎(xsnadi)
ergative,ხსნადმა ‎(xsnadma)
dative and adverbial,ხსნად ‎(xsnad)
vocative,ხსნადო ‎(xsnado)
