0,1
Case,adjective
"nominative, genitive, instrumental",ნაძირალი ‎(naʒirali)
ergative,ნაძირალმა ‎(naʒiralma)
"dative, adverbial",ნაძირალ ‎(naʒiral)
vocative,ნაძირალო ‎(naʒiralo)
Case,adjective
"nominative, genitive and instrumental",ნაძირალი ‎(naʒirali)
ergative,ნაძირალმა ‎(naʒiralma)
dative and adverbial,ნაძირალ ‎(naʒiral)
vocative,ნაძირალო ‎(naʒiralo)
